#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"Cloutier, Jared 1Cloutier, Jared",8,7,650:00,17,2.35,24,0.585,2.0,4.0,1.0,0,77,View Bio
0.0,"O'Toole, John Riley 00O'Toole, John Riley",3,2,180:00,5,2.5,9,0.643,1.0,1.0,0.0,0,24,View Bio
,Total,9,-,830:00,22,2.39,33,0.6,3.0,5.0,1.0,0,101,
,Opponents,9,-,830:00,22,2.39,53,0.707,,,,1,155,
