Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
8/30/2019,vs Coe,W,2-1,(1-0),,143,"Goedeker, Ray (1) (Provost, Davis)  Goedeker, Ray (2) (Kobayashi, Mikoto)"
9/7/2019,vs Buena Vista,W,7-3,(2-0),,126,"Cladouhos, Henry (1) (Naik, Sam)  Cladouhos, Henry (2) (Goedeker, Ray)  Pflipsen, Thomas (1) (Kobayashi, Mikoto)  Kobayashi, Mikoto (1) (Cladouhos, Henry)  Kobayashi, Mikoto (2) (Cladouhos, Henry)  Sorenson, Max (1) (Heller, Ben)  Cladouhos, Henry (3) (Sorenson, Max)"
9/8/2019,at Carleton,L,0-1,"(2-1-0, 0-0-0)",0-0-0,72,
9/11/2019,at Simpson,L,0-2,"(2-2-0, 0-0-0)",0-0-0,113,
9/13/2019,at Northwestern-St. Pau,W,2-1,"(3-2-0, 0-0-0)",0-0-0,92,"Yang, Jasper (1) (Naik, Sam)  Naik, Sam (1) (Yang, Jasper , Kobayashi, Mikoto)"
9/14/2019,at Bethany Lutheran,L,1-3,(3-3),,100,Jasper Yang (0) (Mikoto Kobayashi)
9/16/2019,vs Iowa Wesleyan,W,5-3,"(4-3-0, 0-0-0)",0-0-0,121,"Piedrasanta, Carlos (1) (Goedeker, Ray)  Piedrasanta, Carlos (2) (Yang, Jasper)  Piedrasanta, Carlos (3) (Yang, Jasper)  Yang, Jasper (2) (Naik, Sam)  Kaas, Keegan (1) (Bambi, Matias)"
9/21/2019,"at Dubuque, Univ. of",L,1-3,"(4-4-0, 0-0-0)",0-0-0,89,"Guyton, Noah (1) (Cladouhos, Henry)"
9/28/2019,at Lake Forest,L,1-2,"(4-5-0, 0-1 MWC)",0-1 MWC,120,"Kobayashi, Mikoto (0) (Piedrasanta, Carlos , Goedeker, Ray)"
9/29/2019,at Lawrence University,L,3-4,"(4-6-0, 0-2-0 MWC)",0-2-0 MWC,122,"Yang, Jasper (0) (Piedrasanta, Carlos)  Yang, Jasper (0) Yang, Jasper (0) (Reeves, Zac)"
10/5/2019,vs Beloit,L,0-2,"(4-7-0, 0-3-0)",0-3-0,102,
10/9/2019,vs Cornell College,T,3-3,"(4-7-1, 0-3-1)",0-3-1,72,"Goedeker, Ray (3) (Yang, Jasper)  Yang, Jasper (7) (Goedeker, Ray)  Cladouhos, Henry (4)"
10/12/2019,at Knox,L,0-1,"(4-8-1, 0-4-1)",0-4-1,129,
10/19/2019,vs Ripon,W,6-1,"(5-8-1, 1-4-1)",1-4-1,105,"Goedeker, Ray (4) (Yang, Jasper)  Sorenson, Max (2) (Kaas, Keegan)  Spicer, Michael (1) (Goedeker, Ray , Steinberg, Zach)  Yang, Jasper (8) Provost, Davis (1) (Heller, Ben)  Kobayashi, Mikoto (4)"
10/20/2019,vs St. Norbert,L,1-3,"(5-9-1, 1-5-1)",1-5-1,129,"Cladouhos, Henry (5) (Yang, Jasper)"
10/26/2019,at Monmouth College,W,4-3,"(6-9-1, 2-5-1)",2-5-1,55,"Sorenson, Max (0) Yang, Jasper (0) (Kobayashi, Mikoto)  Yang, Jasper (0) (Goedeker, Ray)  Cladouhos, Henry (0) (Bambi, Matias)"
11/02/2019,at Illinois Col.,W,4-3,"(7-9-1, 3-5-1)",3-5-1,150,"Ray Goedeker (2) (Mikoto Kobayashi)  Ray Goedeker (2) (Mikoto Kobayashi)  Jasper Yang (2) Jasper Yang (2) (Kyle Buse , Henry Cladouhos)"
