Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/30/2019,Coe,1-2,93:02,2,1.93,11,0.846,0,1,0,0,24
9/7/2019,Buena Vista,3-7,90:00,7,4.43,9,0.563,0,1,0,0,32
9/8/2019,Carleton,1-0,90:00,0,2.97,0,0.0,1,0,0,1,5
9/11/2019,Simpson,2-0,90:00,0,2.23,2,1.0,1,0,0,1,5
9/13/2019,Northwestern-St. Pau,1-2,95:49,2,2.16,5,0.714,0,1,0,0,21
9/14/2019,Bethany Lutheran,3-1,90:00,1,1.97,5,0.833,1,0,0,0,16
9/16/2019,Iowa Wesleyan,3-5,90:00,5,2.39,6,0.545,0,1,0,0,12
9/21/2019,"Dubuque, Univ. of",3-1,90:00,1,2.22,3,0.75,1,0,0,0,7
9/28/2019,Lake Forest,2-1,90:00,1,2.09,0,0.0,1,0,0,0,4
9/29/2019,Lawrence University,4-3,90:00,3,2.18,5,0.625,1,0,0,0,16
10/5/2019,Beloit,2-0,90:00,0,1.98,9,1.0,1,0,0,1,13
10/9/2019,Cornell College,3-3,110:00,3,2.03,7,0.7,0,0,1,0,28
10/12/2019,Knox,1-0,90:00,0,1.88,2,1.0,1,0,0,1,8
10/19/2019,Ripon,1-6,90:00,6,2.16,10,0.625,0,1,0,0,28
10/20/2019,St. Norbert,3-1,90:00,1,2.09,9,0.9,1,0,0,0,16
10/26/2019,Monmouth College,3-4,90:00,4,2.21,3,0.429,0,1,0,0,14
11/02/2019,Illinois Col.,3-4,90:00,4,2.31,8,0.667,0,1,0,0,28
Totals,,-,1558,40,2.31,94,0.701,9,7,1,4,277
Grinnell,,-,1558:51,39,2.25,58,0.598,7,9,1,-,202
