Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
8/30/2019,vs Coe,2-1,2/1,2/0,24/9,13/3,12/4,0/1,0/0
9/7/2019,vs Buena Vista,7-3,7/3,7/0,32/5,16/3,9/3,0/1,0/0
9/8/2019,at Carleton,0-1,0/1,0/1,5/20,0/6,2/8,1/1,0/0
9/11/2019,at Simpson,0-2,0/2,0/2,5/17,2/6,3/13,1/1,0/0
9/13/2019,at Northwestern-St. Pau,2-1,2/1,3/1,21/17,7/5,7/6,1/1,0/0
9/14/2019,at Bethany Lutheran,1-3,1/3,1/2,17/13,6/9,11/7,1/2,0/0
9/16/2019,vs Iowa Wesleyan,5-3,5/3,5/0,12/10,11/4,7/2,1/1,0/0
9/21/2019,"at Dubuque, Univ. of",1-3,1/3,1/2,7/13,4/6,5/3,0/2,0/0
9/28/2019,at Lake Forest,1-2,1/2,2/2,4/11,1/2,1/1,1/1,0/0
9/29/2019,at Lawrence University,3-4,3/4,2/4,17/12,8/5,2/3,1/4,0/0
10/5/2019,vs Beloit,0-2,0/2,0/2,13/10,9/7,3/2,0/0,0/2
10/9/2019,vs Cornell College,3-3,3/3,2/0,28/18,10/13,15/5,4/4,0/0
10/12/2019,at Knox,0-1,0/1,0/1,8/12,2/5,5/3,0/4,0/0
10/19/2019,vs Ripon,6-1,6/1,4/0,28/5,16/2,10/2,0/2,0/0
10/20/2019,vs St. Norbert,1-3,1/3,1/2,16/12,10/8,8/8,1/3,0/0
10/26/2019,at Monmouth College,4-3,4/3,3/3,14/13,7/8,6/8,2/2,0/0
11/02/2019,at Illinois Col.,4-3,4/3,4/2,28/9,13/5,7/4,2/3,0/2
Totals,,,40/39,37/24,279/206,135/97,113/82,16/33,0/4
