Statistic,Grinnell,Opponents OPP
Shots,Shots,Shots
Goals G,40,39
Goals Per Game G/AVG,2.35,2.29
Shots SH,279,206
Shots Per Game SH/AVG,16.4,12.1
Shots Percentage SH%,0.143,0.189
Shots On Goal SOG,135-279,97-206
Shots On Goal Percentage SOG%,0.484,0.471
Penalties,Penalties,Penalties
Yellow Cards YC,16,33
Red Cards RC,0,4
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,37,24
Saves S,58,95
Fouls F,121,139
Corner Kicks CK,113,82
Penalty Kicks: Goals-Attempts PG-PA,1-2,4-6
