Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/30/2019,Coe,1-2,1,0,2,9,0.111,3,0.333,1-0,0,0-1,1023
9/7/2019,Buena Vista,3-7,3,0,6,5,0.6,3,0.6,1-0,0,0-0,989
9/8/2019,Carleton,1-0,1,1,3,20,0.05,6,0.3,1-0,1,0-1,991
9/11/2019,Simpson,2-0,2,2,6,17,0.118,6,0.353,1-0,1,0-0,1011
9/13/2019,Northwestern-St. Pau,1-2,1,1,3,17,0.059,5,0.294,1-0,0,0-0,1055
9/14/2019,Bethany Lutheran,3-1,3,2,8,13,0.231,9,0.692,2-0,1,1-1,1011
9/16/2019,Iowa Wesleyan,3-5,3,0,6,10,0.3,4,0.4,1-0,0,0-0,991
9/21/2019,"Dubuque, Univ. of",3-1,3,2,8,13,0.231,6,0.462,2-0,1,0-0,991
9/28/2019,Lake Forest,2-1,2,2,6,11,0.182,2,0.182,1-0,1,0-0,990
9/29/2019,Lawrence University,4-3,4,4,12,12,0.333,5,0.417,4-0,1,1-1,1022
10/5/2019,Beloit,2-0,2,2,6,10,0.2,7,0.7,0-2,1,0-0,991
10/9/2019,Cornell College,3-3,3,0,6,18,0.167,13,0.722,4-0,0,0-0,1211
10/12/2019,Knox,1-0,1,1,3,12,0.083,5,0.417,4-0,1,0-0,990
10/19/2019,Ripon,1-6,1,0,2,5,0.2,2,0.4,2-0,0,1-1,988
10/20/2019,St. Norbert,3-1,3,2,8,12,0.25,8,0.667,3-0,1,1-1,990
10/26/2019,Monmouth College,3-4,3,3,9,13,0.231,8,0.615,2-0,0,0-0,991
11/02/2019,Illinois Col.,3-4,3,2,8,9,0.333,5,0.556,3-2,0,0-0,984
Total,,39-40,39,24,102,206,0.189,97,0.471,33-4,9,4-6,17219
Grinnell,,-,40,37,117,279,0.143,135,0.484,16-0,7,-,17283
