#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"Cloutier, Jared 1Cloutier, Jared",16,15,1263:49,31,2.21,44,0.587,6.0,8.0,1.0,0,166,View Bio
0.0,"O'Toole, John Riley 00O'Toole, John Riley",7,2,295:02,8,2.44,12,0.6,1.0,1.0,0.0,0,36,View Bio
,Total,17,-,1558:51,39,2.25,56,0.589,7.0,9.0,1.0,0,202,
,Opponents,17,-,1558:51,40,2.31,94,0.701,,,,3,277,
