#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
10.0,"Yang, Jasper 10Yang, Jasper",17,15,1356,12,6,30,58,0.207,37,0.638,0-0,2,1-2,View Bio
14.0,"Goedeker, Ray 14Goedeker, Ray",17,14,967,6,6,18,31,0.194,14,0.452,2-0,1,0-0,View Bio
13.0,"Cladouhos, Henry 13Cladouhos, Henry",17,1,640,6,4,16,27,0.222,13,0.481,0-0,1,0-0,View Bio
5.0,"Kobayashi, Mikoto 5Kobayashi, Mikoto",17,15,1094,4,7,15,30,0.133,10,0.333,1-0,1,0-0,View Bio
12.0,"Piedrasanta, Carlos 12Piedrasanta, Carlos",8,4,345,3,2,8,9,0.333,4,0.444,3-0,0,0-0,View Bio
16.0,"Sorenson, Max 16Sorenson, Max",15,1,466,3,1,7,11,0.273,5,0.455,0-0,0,0-0,View Bio
17.0,"Naik, Sam 17Naik, Sam",17,16,1185,1,3,5,16,0.063,7,0.438,2-0,1,0-0,View Bio
8.0,"Kaas, Keegan 8Kaas, Keegan",10,0,185,1,1,3,3,0.333,2,0.667,0-0,0,0-0,View Bio
7.0,"Provost, Davis 7Provost, Davis",16,4,568,1,1,3,15,0.067,12,0.8,0-0,0,0-0,View Bio
24.0,"Bambi, Matias 24Bambi, Matias",8,3,344,0,2,2,7,0.0,3,0.429,0-0,0,0-0,View Bio
11.0,"Guyton, Noah 11Guyton, Noah",17,13,1133,1,0,2,18,0.056,6,0.333,3-0,0,0-0,View Bio
4.0,"Pflipsen, Thomas 4Pflipsen, Thomas",17,17,1493,1,0,2,6,0.167,5,0.833,0-0,0,0-0,View Bio
28.0,"Spicer, Michael 28Spicer, Michael",11,7,290,1,0,2,7,0.143,3,0.429,0-0,0,0-0,View Bio
9.0,"Buse, Kyle 9Buse, Kyle",17,13,1115,0,1,1,9,0.0,1,0.111,0-0,0,0-0,View Bio
2.0,"Heller, Ben 2Heller, Ben",13,4,291,0,1,1,1,0.0,0,0.0,0-0,0,0-0,View Bio
6.0,"Reeves, Zac 6Reeves, Zac",11,11,855,0,1,1,3,0.0,2,0.667,1-0,0,0-0,View Bio
27.0,"Steinberg, Zach 27Steinberg, Zach",17,10,954,0,1,1,7,0.0,4,0.571,1-0,0,0-0,View Bio
1.0,"Cloutier, Jared 1Cloutier, Jared",16,15,1264,0,0,0,0,0.0,0,0.0,1-0,0,0-0,View Bio
19.0,"Colaiace, Theo 19Colaiace, Theo",7,0,179,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
31.0,"Degu, Tinsae 31Degu, Tinsae",1,0,13,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
26.0,"Djamali, Kian 26Djamali, Kian",2,0,21,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
15.0,"Fuller, Az 15Fuller, Az",7,2,123,0,0,0,3,0.0,0,0.0,0-0,0,0-0,View Bio
15.0,"Fuller, Azamat 15Fuller, Azamat",3,0,103,0,0,0,1,0.0,0,0.0,0-0,0,0-0,
21.0,"Girard, Nate 21Girard, Nate",12,10,939,0,0,0,2,0.0,1,0.5,0-0,0,0-0,View Bio
29.0,"Heller, Sam 29Heller, Sam",1,0,4,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
35.0,"Kobayashi, Kyle 35Kobayashi, Kyle",1,0,8,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
92.0,"Laurianti, Dylan 92Laurianti, Dylan",1,0,8,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
18.0,"Matsunaga, Ryota 18Matsunaga, Ryota",13,1,237,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
23.0,"Miller, Zeke 23Miller, Zeke",3,2,135,0,0,0,3,0.0,1,0.333,0-0,0,0-0,View Bio
22.0,"Patterson, Paul 22Patterson, Paul",7,1,141,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
20.0,"Perez, Gilberto 20Perez, Gilberto",1,0,20,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
6.0,"Reeves, Zach 6Reeves, Zach",6,6,482,0,0,0,6,0.0,3,0.5,1-0,0,0-0,
0.0,"Riley o'toole, John 00Riley o'toole, John",7,2,302,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
25.0,"Vega, Rudy 25Vega, Rudy",2,0,23,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,17,-,17283,40,37,117,279,0.143,135,0.484,16-0,6,1-2,
,Opponent,17,-,17219,39,24,102,206,0.189,97,0.471,33-4,9,4-6,
