Statistic,High,Opponent
POINTS,21,Buena Vista (9/7/2019)
GOALS,7,Buena Vista (9/7/2019)
ASSISTS,7,Buena Vista (9/7/2019)
SHOTS,32,Buena Vista (9/7/2019)
SHOTS ON GOAL,16,Buena Vista (9/7/2019) Ripon (10/19/2019)
SAVES,10,Cornell College (10/9/2019)
FOULS,18,Illinois Col. (11/02/2019)
CORNER KICKS,15,Cornell College (10/9/2019)
