Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/30/2019,Coe,2-1,93:02,1,0.97,2,0.667,1,0,0,0,8
9/7/2019,Buena Vista,7-3,90:00,3,1.97,0,0.0,1,0,0,0,5
9/8/2019,Carleton,0-1,90:00,1,1.65,5,0.833,0,1,0,0,19
9/11/2019,Simpson,0-2,90:00,2,1.74,4,0.667,0,1,0,0,17
9/13/2019,Northwestern-St. Pau,2-1,95:49,1,1.57,4,0.8,1,0,0,0,17
9/14/2019,Bethany Lutheran,1-3,90:00,3,1.8,6,0.667,0,1,0,0,12
9/16/2019,Iowa Wesleyan,5-3,90:00,3,1.97,1,0.25,1,0,0,0,10
9/21/2019,"Dubuque, Univ. of",1-3,90:00,3,2.1,3,0.5,0,1,0,0,13
9/28/2019,Lake Forest,1-2,90:00,2,2.09,0,0.0,0,1,0,0,11
9/29/2019,Lawrence University,3-4,90:00,4,2.28,1,0.2,0,1,0,0,11
10/5/2019,Beloit,0-2,90:00,2,2.25,5,0.714,0,1,0,0,10
10/9/2019,Cornell College,3-3,110:00,3,2.27,10,0.769,0,0,1,0,18
10/12/2019,Knox,0-1,90:00,1,2.18,4,0.8,0,1,0,0,12
10/19/2019,Ripon,6-1,90:00,1,2.09,1,0.5,1,0,0,0,5
10/20/2019,St. Norbert,1-3,90:00,3,2.15,5,0.625,0,1,0,0,12
10/26/2019,Monmouth College,4-3,90:00,3,2.21,5,0.625,1,0,0,0,13
11/02/2019,Illinois Col.,4-3,90:00,3,2.25,2,0.4,1,0,0,0,9
Totals,,-,1558,39,2.25,58,0.598,7,9,1,-,202
Opponent,,-,1558:51,40,2.31,94,0.701,9,7,1,3,277
