#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
24.0,"Huey, Megan 24 Huey, Megan",23,22.0,697,108,243,0.444,0,1,0.0,40,59,0.678,256,11.1
15.0,"Briggs, Michelle 15 Briggs, Michelle",22,22.0,576,85,206,0.413,0,1,0.0,60,97,0.619,230,10.5
23.0,"DeGroot, Rebecca 23 DeGroot, Rebecca",23,17.0,640,89,241,0.369,39,119,0.328,25,29,0.862,242,10.5
10.0,"Alabi, Tolu 10 Alabi, Tolu",22,20.0,596,71,181,0.392,9,30,0.3,33,59,0.559,184,8.4
5.0,"Coleman, Cristal 05 Coleman, Cristal",23,1.0,228,31,88,0.352,29,74,0.392,5,7,0.714,96,4.2
13.0,"Jeannin, Ashley 13 Jeannin, Ashley",23,22.0,718,20,69,0.29,12,41,0.293,33,53,0.623,85,3.7
20.0,"Jaeger, Abby 20 Jaeger, Abby",23,3.0,512,26,68,0.382,4,9,0.444,22,34,0.647,78,3.4
21.0,"Clarke, Kelly 21 Clarke, Kelly",15,3.0,163,16,48,0.333,9,33,0.273,0,2,0.0,41,2.7
12.0,"Plemmons, Alex 12 Plemmons, Alex",23,3.0,213,19,33,0.576,0,0,0.0,7,14,0.5,45,2.0
34.0,"Burnett, Elizabeth 34 Burnett, Elizabeth",12,1.0,171,16,59,0.271,0,0,0.0,2,3,0.667,34,2.8
44.0,"Schellinger, Jordan 44 Schellinger, Jordan",11,1.0,32,2,6,0.333,0,0,0.0,0,1,0.0,4,0.4
11.0,"Miller, Isabelle 11 Miller, Isabelle",13,0.0,53,3,7,0.429,0,0,0.0,0,0,0.0,6,0.5
14.0,"Tharp, Erica  14 Tharp, Erica",1,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
,Total,23,,4600,486,1249,0.389,102,308,0.331,227,358,0.634,1301,56.57
,Opponents,23,,4600,447,1347,0.332,80,346,0.231,301,426,0.707,1275,55.43
