Name,GP,PF,PF/G
"#15 Briggs, Michelle",22,63,2.9
"#24 Huey, Megan",23,57,2.5
"#13 Jeannin, Ashley",23,46,2.0
"#20 Jaeger, Abby",23,40,1.7
"#10 Alabi, Tolu",22,38,1.7
"#23 DeGroot, Rebecca",23,38,1.7
"#34 Burnett, Elizabeth",12,28,2.3
"#12 Plemmons, Alex",23,25,1.1
"#05 Coleman, Cristal",23,20,0.9
"#21 Clarke, Kelly",15,17,1.1
"#11 Miller, Isabelle",13,6,0.5
"#44 Schellinger, Jordan",11,5,0.5
