#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
15,"Briggs, Michelle 15 Briggs, Michelle",18,18.0,496,27.6,74,179,0.413,0,1,0.0,50,83,0.602,198,11.0,59,128,187,10.4,46,20,1.1,57,9,75,View Bio
24,"Huey, Megan 24 Huey, Megan",18,18.0,561,31.2,85,191,0.445,0,1,0.0,32,45,0.711,202,11.2,39,119,158,8.8,45,29,1.6,43,22,22,View Bio
23,"DeGroot, Rebecca 23 DeGroot, Rebecca",18,14.0,517,28.7,76,202,0.376,33,97,0.34,22,26,0.846,207,11.5,36,51,87,4.8,29,29,1.6,68,20,5,View Bio
10,"Alabi, Tolu 10 Alabi, Tolu",17,16.0,465,27.4,57,141,0.404,5,20,0.25,27,46,0.587,146,8.6,27,68,95,5.6,27,28,1.6,50,32,3,View Bio
13,"Jeannin, Ashley 13 Jeannin, Ashley",18,18.0,556,30.9,16,52,0.308,9,30,0.3,27,46,0.587,68,3.8,4,31,35,1.9,31,51,2.8,45,15,1,View Bio
20,"Jaeger, Abby 20 Jaeger, Abby",18,2.0,407,22.6,23,61,0.377,4,9,0.444,17,28,0.607,67,3.7,7,22,29,1.6,33,29,1.6,39,13,2,View Bio
05,"Coleman, Cristal 05 Coleman, Cristal",18,0.0,166,9.2,19,56,0.339,18,46,0.391,3,5,0.6,59,3.3,3,13,16,0.9,15,5,0.3,17,4,1,View Bio
21,"Clarke, Kelly 21 Clarke, Kelly",14,2.0,143,10.2,14,37,0.378,8,26,0.308,0,2,0.0,36,2.6,1,8,9,0.6,16,5,0.4,8,3,2,View Bio
12,"Plemmons, Alex 12 Plemmons, Alex",18,2.0,151,8.4,10,20,0.5,0,0,0.0,6,13,0.462,26,1.4,6,18,24,1.3,21,3,0.2,13,2,0,View Bio
34,"Burnett, Elizabeth 34 Burnett, Elizabeth",8,0.0,92,11.5,7,29,0.241,0,0,0.0,0,1,0.0,14,1.8,8,16,24,3.0,22,3,0.4,9,3,6,View Bio
11,"Miller, Isabelle 11 Miller, Isabelle",10,0.0,30,3.0,3,5,0.6,0,0,0.0,0,0,0.0,6,0.6,2,4,6,0.6,2,0,0.0,3,0,0,View Bio
44,"Schellinger, Jordan 44 Schellinger, Jordan",8,0.0,16,2.0,2,3,0.667,0,0,0.0,0,1,0.0,4,0.5,0,0,0,0.0,4,0,0.0,4,0,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,26,53,79,4.4,0,0,0.0,8,0,0,
,Total,18,,3600,200.0,386,976,0.395,77,230,0.335,184,296,0.622,1033,57.39,218,531,749,41.6,291,202,11.2,364,123,117,
,Opponents,18,,3600,200.0,330,1067,0.309,60,279,0.215,229,322,0.711,949,52.72,246,431,677,37.6,294,164,9.1,307,180,50,
