Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Central College,11/17/11,49-62,-13,19-55/23-55,.345/.418,5-17/3-12,.294/.250,6-10/13-17,.600-.765,31/42 -11,10/15,21/21,6/3,10/9,21/12
Ashford University,11/19/11,68-55,13,25-54/18-54,.463/.333,5-10/2-17,.500/.118,13-19/17-26,.684-.654,46/28 18,12/12,25/18,6/4,5/11,20/15
Wartburg College,11/22/11,54-65,-11,21-53/21-54,.396/.389,5-18/10-20,.278/.500,7-13/13-16,.538-.813,38/34 4,10/12,22/16,7/2,9/13,14/10
Park University,11/26/11,41-82,-41,14-55/33-67,.255/.493,2-12/4-10,.167/.400,11-14/12-19,.786-.632,30/45 -15,6/20,27/19,5/4,9/17,15/17
St. Norbert College,12/02/11,48-58,-10,18-58/19-50,.310/.380,6-10/2-7,.600/.286,6-16/18-26,.375-.692,43/40 3,9/10,13/10,6/7,3/7,19/16
Ripon College,12/03/11,50-45,5,15-48/16-51,.313/.314,1-6/3-10,.167/.300,19-23/10-16,.826-.625,38/35 3,6/9,23/26,7/2,13/12,12/18
Knox College,12/07/11,72-64,8,29-60/22-77,.483/.286,0-0/4-28,NaN/.143,14-26/16-25,.538-.640,41/40 1,9/7,29/24,10/1,9/15,20/25
Carroll University,12/10/11,53-55,-2,16-48/18-52,.333/.346,2-9/1-3,.222/.333,19-24/18-25,.792-.720,38/34 4,7/7,19/14,7/4,4/7,23/21
Beloit College,01/05/12,59-47,12,20-51/17-55,.392/.309,5-14/1-13,.357/.077,14-23/12-14,.609-.857,40/36 4,10/10,21/26,4/2,4/6,14/21
Illinois College,01/10/12,59-51,8,19-56/17-58,.339/.293,8-16/8-19,.500/.421,13-19/9-12,.684-.750,39/44 -5,14/10,8/15,9/6,11/5,12/15
Lawrence University,01/13/12,62-35,27,24-65/10-57,.369/.175,5-17/1-19,.294/.053,9-18/14-20,.500-.700,51/46 5,15/6,16/22,3/2,8/6,20/18
Carroll University,01/14/12,44-46,-2,17-59/16-50,.288/.320,5-12/3-7,.417/.429,5-11/11-20,.455-.550,36/51 -15,7/8,11/18,4/2,1/3,17/12
Beloit College,01/20/12,67-39,28,27-64/13-58,.422/.224,6-18/1-12,.333/.083,7-10/12-15,.700-.800,52/35 17,15/7,15/13,7/8,5/5,16/14
Lawrence University,01/21/12,62-49,13,27-62/16-63,.435/.254,3-14/7-27,.214/.259,5-8/10-14,.625-.714,49/36 13,16/10,22/17,6/4,4/9,13/11
Monmouth College,01/25/12,63-57,6,23-38/19-64,.605/.297,2-7/6-21,.286/.286,15-25/13-16,.600-.813,33/36 -3,11/9,28/21,9/2,9/18,14/20
Lake Forest College,01/28/12,58-62,-4,20-65/22-58,.308/.379,8-21/5-15,.381/.333,10-13/13-19,.769-.684,46/39 7,14/12,20/14,8/1,8/11,18/17
Knox College,01/31/12,87-67,20,36-64/24-89,.563/.270,0-0/5-33,NaN/.152,15-30/14-26,.500-.538,60/47 13,17/8,26/17,14/4,11/12,22/25
Ripon College,02/03/12,46-63,-17,18-40/22-54,.450/.407,6-17/3-12,.353/.250,4-6/16-18,.667-.889,30/25 5,10/12,28/13,6/0,10/17,15/11
St. Norbert College,02/04/12,35-51,-16,14-48/22-57,.292/.386,5-18/3-12,.278/.250,2-2/4-7,1.000-.571,33/35 -2,6/14,23/14,5/1,5/15,12/5
Monmouth College,02/08/12,60-57,3,24-45/23-62,.533/.371,7-16/2-11,.438/.182,5-12/9-11,.417-.818,39/26 13,19/9,26/13,4/3,2/18,10/13
Illinois College,02/11/12,49-50,-1,21-51/15-48,.412/.313,4-19/4-13,.211/.308,3-8/16-21,.375-.762,39/29 10,6/10,18/12,2/0,6/6,18/13
MacMurray College,02/13/12,56-62,-6,21-56/22-50,.375/.440,8-21/1-8,.381/.125,6-6/17-26,1.000-.654,39/29 10,12/15,21/10,3/1,0/16,22/10
Lake Forest College,02/18/12,59-53,6,18-54/19-64,.333/.297,4-16/1-17,.250/.059,19-22/14-17,.864-.824,42/43 -1,11/6,18/18,6/1,10/8,16/19
