Name,GP,BLK,BLK/G
"#15 Briggs, Michelle",22,84,3.8
"#24 Huey, Megan",23,26,1.1
"#34 Burnett, Elizabeth",12,16,1.3
"#23 DeGroot, Rebecca",23,7,0.3
"#10 Alabi, Tolu",22,4,0.2
"#21 Clarke, Kelly",15,2,0.1
"#20 Jaeger, Abby",23,2,0.1
"#13 Jeannin, Ashley",23,2,0.1
"#05 Coleman, Cristal",23,1,0.0
