#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
24.0,"Huey, Megan 24 Huey, Megan",23,30.3,0.444,0.0,0.678,2.1,6.2,8.3,1.7,1.1,1.1,11.1
15.0,"Briggs, Michelle 15 Briggs, Michelle",22,26.2,0.413,0.0,0.619,3.0,6.5,9.4,1.0,0.6,3.8,10.5
23.0,"DeGroot, Rebecca 23 DeGroot, Rebecca",23,27.8,0.369,0.328,0.862,1.7,2.8,4.6,1.3,1.1,0.3,10.5
10.0,"Alabi, Tolu 10 Alabi, Tolu",22,27.1,0.392,0.3,0.559,1.5,3.6,5.0,1.6,1.9,0.2,8.4
5.0,"Coleman, Cristal 05 Coleman, Cristal",23,9.9,0.352,0.392,0.714,0.2,0.9,1.1,0.2,0.2,0.0,4.2
13.0,"Jeannin, Ashley 13 Jeannin, Ashley",23,31.2,0.29,0.293,0.623,0.3,1.6,2.0,3.0,0.9,0.1,3.7
20.0,"Jaeger, Abby 20 Jaeger, Abby",23,22.3,0.382,0.444,0.647,0.4,1.3,1.7,1.4,0.7,0.1,3.4
21.0,"Clarke, Kelly 21 Clarke, Kelly",15,10.9,0.333,0.273,0.0,0.1,0.7,0.8,0.4,0.2,0.1,2.7
12.0,"Plemmons, Alex 12 Plemmons, Alex",23,9.3,0.576,0.0,0.5,0.6,1.0,1.6,0.2,0.1,0.0,2.0
34.0,"Burnett, Elizabeth 34 Burnett, Elizabeth",12,14.3,0.271,0.0,0.667,1.5,2.2,3.7,0.5,0.4,1.3,2.8
44.0,"Schellinger, Jordan 44 Schellinger, Jordan",11,2.9,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
11.0,"Miller, Isabelle 11 Miller, Isabelle",13,4.1,0.429,0.0,0.0,0.2,0.5,0.7,0.1,0.0,0.0,0.5
14.0,"Tharp, Erica  14 Tharp, Erica",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Total,23,200.0,0.389,0.331,0.634,12.2,28.3,40.6,11.0,6.8,6.3,56.57
,Opponents,23,200.0,0.332,0.231,0.707,13.1,24.1,37.2,10.3,10.7,2.8,55.43
