Name,GP,Pts,Pts/G
"#24 Huey, Megan",23,256,11.1
"#23 DeGroot, Rebecca",23,242,10.5
"#15 Briggs, Michelle",22,230,10.5
"#10 Alabi, Tolu",22,184,8.4
"#05 Coleman, Cristal",23,96,4.2
"#13 Jeannin, Ashley",23,85,3.7
"#20 Jaeger, Abby",23,78,3.4
"#12 Plemmons, Alex",23,45,2.0
"#21 Clarke, Kelly",15,41,2.7
"#34 Burnett, Elizabeth",12,34,2.8
"#11 Miller, Isabelle",13,6,0.5
"#44 Schellinger, Jordan",11,4,0.4
