Name,GP,STL,STL/G
"#10 Alabi, Tolu",22,42,1.9
"#23 DeGroot, Rebecca",23,26,1.1
"#24 Huey, Megan",23,25,1.1
"#13 Jeannin, Ashley",23,21,0.9
"#20 Jaeger, Abby",23,15,0.7
"#15 Briggs, Michelle",22,13,0.6
"#34 Burnett, Elizabeth",12,5,0.4
"#05 Coleman, Cristal",23,4,0.2
"#21 Clarke, Kelly",15,3,0.2
"#12 Plemmons, Alex",23,2,0.1
