Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#23 DeGroot, Rebecca",23,39,119,0.328,1.7,5.2
"#05 Coleman, Cristal",23,29,74,0.392,1.3,3.2
"#13 Jeannin, Ashley",23,12,41,0.293,0.5,1.8
"#10 Alabi, Tolu",22,9,30,0.3,0.4,1.4
"#21 Clarke, Kelly",15,9,33,0.273,0.6,2.2
"#20 Jaeger, Abby",23,4,9,0.444,0.2,0.4
"#15 Briggs, Michelle",22,0,1,0.0,0.0,0.0
"#24 Huey, Megan",23,0,1,0.0,0.0,0.0
