Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#24 Huey, Megan",23,108,243,0.444,4.7,10.6
"#23 DeGroot, Rebecca",23,89,241,0.369,3.9,10.5
"#15 Briggs, Michelle",22,85,206,0.413,3.9,9.4
"#10 Alabi, Tolu",22,71,181,0.392,3.2,8.2
"#05 Coleman, Cristal",23,31,88,0.352,1.3,3.8
"#20 Jaeger, Abby",23,26,68,0.382,1.1,3.0
"#13 Jeannin, Ashley",23,20,69,0.29,0.9,3.0
"#12 Plemmons, Alex",23,19,33,0.576,0.8,1.4
"#34 Burnett, Elizabeth",12,16,59,0.271,1.3,4.9
"#21 Clarke, Kelly",15,16,48,0.333,1.1,3.2
"#11 Miller, Isabelle",13,3,7,0.429,0.2,0.5
"#44 Schellinger, Jordan",11,2,6,0.333,0.2,0.5
