Name,GP,MIN,MIN/G
"#13 Jeannin, Ashley",23,718,31.2
"#24 Huey, Megan",23,697,30.3
"#23 DeGroot, Rebecca",23,640,27.8
"#10 Alabi, Tolu",22,596,27.1
"#15 Briggs, Michelle",22,576,26.2
"#20 Jaeger, Abby",23,512,22.3
"#05 Coleman, Cristal",23,228,9.9
"#12 Plemmons, Alex",23,213,9.3
"#34 Burnett, Elizabeth",12,171,14.3
"#21 Clarke, Kelly",15,163,10.9
"#11 Miller, Isabelle",13,53,4.1
"#44 Schellinger, Jordan",11,32,2.9
"#14 Tharp, Erica",1,1,1.0
