Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
vs Central College,11/17/11,49-62,L,19-55,0.345,5-17,0.294,6-10,0.6,9,22,31,31.0,21,10,21,6,10,49,49.0
at Ashford University,11/19/11,68-55,W,25-54,0.463,5-10,0.5,13-19,0.684,18,28,46,38.5,20,12,25,6,5,68,58.5
vs Wartburg College,11/22/11,54-65,L,21-53,0.396,5-18,0.278,7-13,0.538,10,28,38,38.3,14,10,22,7,9,54,57.0
at Park University,11/26/11,41-82,L,14-55,0.255,2-12,0.167,11-14,0.786,13,17,30,36.3,15,6,27,5,9,41,53.0
vs St. Norbert College,12/02/11,48-58,L,18-58,0.31,6-10,0.6,6-16,0.375,13,30,43,37.6,19,9,13,6,3,48,52.0
vs Ripon College,12/03/11,50-45,W,15-48,0.313,1-6,0.167,19-23,0.826,13,25,38,37.7,12,6,23,7,13,50,51.7
at Knox College,12/07/11,72-64,W,29-60,0.483,0-0,,14-26,0.538,13,28,41,38.1,20,9,29,10,9,72,54.6
vs Carroll University,12/10/11,53-55,L,16-48,0.333,2-9,0.222,19-24,0.792,11,27,38,38.1,23,7,19,7,4,53,54.4
at Beloit College,01/05/12,59-47,W,20-51,0.392,5-14,0.357,14-23,0.609,9,31,40,38.3,14,10,21,4,4,59,54.9
vs Illinois College,01/10/12,59-51,W,19-56,0.339,8-16,0.5,13-19,0.684,12,27,39,38.4,12,14,8,9,11,59,55.3
at Lawrence University,01/13/12,62-35,W,24-65,0.369,5-17,0.294,9-18,0.5,15,36,51,39.5,20,15,16,3,8,62,55.9
at Carroll University,01/14/12,44-46,L,17-59,0.288,5-12,0.417,5-11,0.455,12,24,36,39.3,17,7,11,4,1,44,54.9
vs Beloit College,01/20/12,67-39,W,27-64,0.422,6-18,0.333,7-10,0.7,13,39,52,40.2,16,15,15,7,5,67,55.8
vs Lawrence University,01/21/12,62-49,W,27-62,0.435,3-14,0.214,5-8,0.625,13,36,49,40.9,13,16,22,6,4,62,56.3
at Monmouth College,01/25/12,63-57,W,23-38,0.605,2-7,0.286,15-25,0.6,8,25,33,40.3,14,11,28,9,9,63,56.7
at Lake Forest College,01/28/12,58-62,L,20-65,0.308,8-21,0.381,10-13,0.769,19,27,46,40.7,18,14,20,8,8,58,56.8
vs Knox College,01/31/12,87-67,W,36-64,0.563,0-0,,15-30,0.5,15,45,60,41.8,22,17,26,14,11,87,58.6
at Ripon College,02/03/12,46-63,L,18-40,0.45,6-17,0.353,4-6,0.667,6,24,30,41.2,15,10,28,6,10,46,57.9
at St. Norbert College,02/04/12,35-51,L,14-48,0.292,5-18,0.278,2-2,1.0,12,21,33,40.7,12,6,23,5,5,35,56.7
vs Monmouth College,02/08/12,60-57,W,24-45,0.533,7-16,0.438,5-12,0.417,11,28,39,40.7,10,19,26,4,2,60,56.9
at Illinois College,02/11/12,49-50,L,21-51,0.412,4-19,0.211,3-8,0.375,12,27,39,40.6,18,6,18,2,6,49,56.5
vs MacMurray College,02/13/12,56-62,L,21-56,0.375,8-21,0.381,6-6,1.0,13,26,39,40.5,22,12,21,3,0,56,56.5
vs Lake Forest College,02/18/12,59-53,W,18-54,0.333,4-16,0.25,19-22,0.864,11,31,42,40.6,16,11,18,6,10,59,56.6
Grinnell College,,-,,486-1249,0.389,102-308,0.331,227-358,0.634,281,652,933,40.6,383,252,480,144,156,1301,56.6
Opponents,,-,,447-1347,0.332,80-346,0.231,301-426,0.707,301,554,855,37.2,358,238,391,64,246,1275,55.4
