#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
24,"Huey, Megan 24 Huey, Megan",23,22.0,697,30.3,108,243,0.444,0,1,0.0,40,59,0.678,256,11.1,49,142,191,8.3,57,38,56,25,26,View Bio
15,"Briggs, Michelle 15 Briggs, Michelle",22,22.0,576,26.2,85,206,0.413,0,1,0.0,60,97,0.619,230,10.5,65,142,207,9.4,63,23,66,13,84,View Bio
23,"DeGroot, Rebecca 23 DeGroot, Rebecca",23,17.0,640,27.8,89,241,0.369,39,119,0.328,25,29,0.862,242,10.5,40,65,105,4.6,38,30,85,26,7,View Bio
10,"Alabi, Tolu 10 Alabi, Tolu",22,20.0,596,27.1,71,181,0.392,9,30,0.3,33,59,0.559,184,8.4,32,79,111,5.0,38,36,68,42,4,View Bio
05,"Coleman, Cristal 05 Coleman, Cristal",23,1.0,228,9.9,31,88,0.352,29,74,0.392,5,7,0.714,96,4.2,4,21,25,1.1,20,5,27,4,1,View Bio
13,"Jeannin, Ashley 13 Jeannin, Ashley",23,22.0,718,31.2,20,69,0.29,12,41,0.293,33,53,0.623,85,3.7,8,37,45,2.0,46,69,73,21,2,View Bio
20,"Jaeger, Abby 20 Jaeger, Abby",23,3.0,512,22.3,26,68,0.382,4,9,0.444,22,34,0.647,78,3.4,10,29,39,1.7,40,33,45,15,2,View Bio
34,"Burnett, Elizabeth 34 Burnett, Elizabeth",12,1.0,171,14.3,16,59,0.271,0,0,0.0,2,3,0.667,34,2.8,18,26,44,3.7,28,6,12,5,16,View Bio
21,"Clarke, Kelly 21 Clarke, Kelly",15,3.0,163,10.9,16,48,0.333,9,33,0.273,0,2,0.0,41,2.7,2,10,12,0.8,17,6,8,3,2,View Bio
12,"Plemmons, Alex 12 Plemmons, Alex",23,3.0,213,9.3,19,33,0.576,0,0,0.0,7,14,0.5,45,2.0,13,24,37,1.6,25,5,17,2,0,View Bio
11,"Miller, Isabelle 11 Miller, Isabelle",13,0.0,53,4.1,3,7,0.429,0,0,0.0,0,0,0.0,6,0.5,3,6,9,0.7,6,1,6,0,0,View Bio
44,"Schellinger, Jordan 44 Schellinger, Jordan",11,1.0,32,2.9,2,6,0.333,0,0,0.0,0,1,0.0,4,0.4,0,0,0,0.0,5,0,7,0,0,View Bio
TM,Team  TM Team,23,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,37,71,108,4.7,0,0,10,0,0,
14,"Tharp, Erica  14 Tharp, Erica",1,0.0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,
,Total,23,,4600,200.0,486,1249,0.389,102,308,0.331,227,358,0.634,1301,56.57,281,652,933,40.6,383,252,480,156,144,
,Opponents,23,,4600,200.0,447,1347,0.332,80,346,0.231,301,426,0.707,1275,55.43,301,554,855,37.2,358,238,391,246,64,
