Name,GP,TO,TO/G
"#23 DeGroot, Rebecca",23,85,3.7
"#13 Jeannin, Ashley",23,73,3.2
"#10 Alabi, Tolu",22,68,3.1
"#15 Briggs, Michelle",22,66,3.0
"#24 Huey, Megan",23,56,2.4
"#20 Jaeger, Abby",23,45,2.0
"#05 Coleman, Cristal",23,27,1.2
"#12 Plemmons, Alex",23,17,0.7
"#34 Burnett, Elizabeth",12,12,1.0
#TM Team,23,10,0.4
"#21 Clarke, Kelly",15,8,0.5
"#44 Schellinger, Jordan",11,7,0.6
"#11 Miller, Isabelle",13,6,0.5
