Name,GP,AST,AST/G
"#13 Jeannin, Ashley",23,69,3.0
"#24 Huey, Megan",23,38,1.7
"#10 Alabi, Tolu",22,36,1.6
"#20 Jaeger, Abby",23,33,1.4
"#23 DeGroot, Rebecca",23,30,1.3
"#15 Briggs, Michelle",22,23,1.0
"#34 Burnett, Elizabeth",12,6,0.5
"#21 Clarke, Kelly",15,6,0.4
"#05 Coleman, Cristal",23,5,0.2
"#12 Plemmons, Alex",23,5,0.2
"#11 Miller, Isabelle",13,1,0.1
