Statistic,High,Player,Opponent
POINTS,26,Michelle Briggs,Knox College (12/07/11)
FIELD GOALS MADE,12,Michelle Briggs,Knox College (12/07/11)
FIELD GOAL ATTEMPTS,22,Michelle Briggs,Knox College (12/07/11)
3 PT FIELD GOALS MADE,5,Rebecca DeGroot; Cristal Coleman,Illinois College (01/10/12); MacMurray College (02/13/12); Lake Forest College (01/28/12)
3 PT FG ATTEMPTS,12,Rebecca DeGroot,Lake Forest College (01/28/12)
FREE THROWS MADE,10,Toluwaloju Alabi; Michelle Briggs,Carroll University (12/10/11); Lake Forest College (02/18/12)
FREE THROW ATTEMPTS,12,Toluwaloju Alabi; Michelle Briggs,Carroll University (12/10/11); Lake Forest College (02/18/12)
REBOUNDS,17,Megan Huey,Carroll University (12/10/11)
ASSISTS,6,Ashley Jeannin,Wartburg College (11/22/11); Monmouth College (02/08/12)
STEALS,5,Rebecca DeGroot,Ripon College (12/03/11)
BLOCKED SHOTS,7,Michelle Briggs,Illinois College (01/10/12); Knox College (01/31/12)
TURNOVERS,8,Ashley Jeannin; Michelle Briggs; Toluwaloju Alabi; Rebecca DeGroot,Wartburg College (11/22/11); Monmouth College (02/08/12); Ashford University (11/19/11); Monmouth College (01/25/12)
FOULS,5,Michelle Briggs; Megan Huey,Central College (11/17/11); Carroll University (12/10/11); Ashford University (11/19/11); Knox College (12/07/11)
