Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Jacobs, Tommy",SO-2,23.82,2019 Pioneer Indoor Preview Meet,"Dec 6, 2019",NWI
,"Hiser, Alexander",FR-1,23.87,Liz Wuertz Indoor Invitational,"Feb 22, 2020",NWI
,"Hiser, Alexander",FR-1,23.93,2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Geiman, Brad",JR-3,24.07,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020",NWI
,"Hiser, Alexander",FR-1,24.07,Hilltop Invitational,"Jan 25, 2020",NWI
,"Jacobs, Tommy",SO-2,24.18,Hilltop Invitational,"Jan 25, 2020",NWI
,"Jacobs, Tommy",SO-2,24.36,Dutch Athletic Classic 2020,"Jan 18, 2020",NWI
,"Hill, Paul",FR-1,24.62,2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Jacobson, Noah",SR-4,24.72,Liz Wuertz Indoor Invitational,"Feb 22, 2020",NWI
,"Hill, Paul",FR-1,25.07,Hilltop Invitational,"Jan 25, 2020",NWI
,"Taylor, Zeke",JR-3,25.24,Liz Wuertz Indoor Invitational,"Feb 22, 2020",NWI
,"Taylor, Zeke",JR-3,25.46,Hilltop Invitational,"Jan 25, 2020",NWI
,"Walcher, Kyler",FR-1,25.5,Darren Young Classic,"Feb 15, 2020",NWI
,"Taylor, Zeke",JR-3,25.5,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020",NWI
,"Taylor, Zeke",JR-3,25.72,2019 Pioneer Indoor Preview Meet,"Dec 6, 2019",NWI
,"Taylor, Zeke",JR-3,26.15,Darren Young Classic,"Feb 15, 2020",NWI
,"Moppel, Christopher",SO-2,27.19,Darren Young Classic,"Feb 15, 2020",NWI
,"Morri, Ricky",FR-1,27.19,2019 Pioneer Indoor Preview Meet,"Dec 6, 2019",NWI
,"Moppel, Christopher",SO-2,27.2,2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Moppel, Christopher",SO-2,27.3,Liz Wuertz Indoor Invitational,"Feb 22, 2020",NWI
,"Moppel, Christopher",SO-2,27.3,Hilltop Invitational,"Jan 25, 2020",NWI
,"Moppel, Christopher",SO-2,28.27,Dutch Athletic Classic 2020,"Jan 18, 2020",NWI
