Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Tesar, Tali",SO-2,10.24,Darren Young Classic,"Feb 15, 2020"
,"Tomczik, Kate",SO-2,10.59,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,11.19,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
