Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/4/2017,vs,Elmhurst College,L,5-10,8.0,17,10,7,4,2,3,0,1,0,0,3,0,0,1,0,7.88
3/4/2017,vs,Ill. Wesleyan,L,5-6,12.0,11,6,6,5,4,2,0,1,1,0,4,0,0,2,0,4.5
3/5/2017,vs,Loras College,W,17-7,7.0,14,7,7,2,4,4,1,1,2,1,0,0,1,2,0,9.0
3/5/2017,vs,Lawrence University,W,5-4,9.0,10,4,4,3,6,0,1,2,0,0,0,0,2,2,0,4.0
3/18/2017,at,Ozarks (Ark.),L,14-16,8.0,17,16,15,7,4,3,1,3,0,0,3,1,2,3,0,16.88
3/19/2017,at,Ozarks (Ark.),W,11-8,9.0,16,8,8,3,4,4,0,0,0,4,2,0,3,3,0,8.0
3/19/2017,at,Ozarks (Ark.),L,4-5,8.0,8,5,5,2,2,1,0,2,1,0,0,0,3,4,0,5.63
3/20/2017,at,Hendrix,W,14-8,9.0,14,8,6,3,1,2,0,0,1,0,4,0,4,4,0,6.0
3/23/2017,vs,UW-Superior,W,7-3,9.0,7,3,3,2,5,1,0,0,1,0,1,0,5,4,0,3.0
3/24/2017,vs,Carthage College,L,1-13,7.0,16,13,8,2,8,4,1,0,0,0,3,0,5,5,0,10.29
3/24/2017,vs,Allegheny Coll.,L,6-13,8.0,20,13,11,1,3,5,0,0,2,0,3,0,5,6,0,12.38
3/25/2017,vs,Gustavus Adolphus,L,0-4,8.0,11,4,3,2,1,3,0,0,1,0,0,0,5,7,0,3.38
3/26/2017,vs,Middlebury College,W,7-6,9.0,6,6,5,3,5,2,0,0,1,0,4,0,6,7,0,5.0
4/1/2017,,Illinois College,W,4-0,9.0,3,0,0,2,4,0,0,0,0,0,0,0,7,7,0,0.0
4/1/2017,,Illinois College,W,15-3,7.0,7,3,2,3,4,1,0,0,0,0,0,0,8,7,0,2.57
4/2/2017,at,Illinois College,W,7-5,9.0,8,5,3,5,5,1,0,0,1,0,1,0,9,7,1,3.0
4/2/2017,at,Illinois College,W,8-1,9.0,3,1,1,2,4,1,0,0,0,0,0,0,10,7,0,1.0
4/8/2017,,Monmouth College,W,7-6,11.0,13,6,6,5,7,1,0,1,0,1,1,0,11,7,0,4.91
4/8/2017,,Monmouth College,L,6-8,9.0,11,8,4,4,2,2,0,1,1,0,0,0,11,8,0,4.0
4/9/2017,at,Monmouth College,L,4-10,8.0,13,10,7,6,5,3,0,0,2,0,0,0,11,9,0,7.88
4/9/2017,at,Monmouth College,W,6-3,9.0,10,3,3,6,8,2,0,0,1,0,0,1,12,9,0,3.0
4/13/2017,at,Knox College,W,5-2,9.0,12,2,1,2,3,1,0,0,0,0,0,1,13,9,1,1.0
4/13/2017,at,Knox College,W,8-6,10.0,13,6,6,2,6,1,0,0,0,1,2,1,14,9,0,5.4
4/15/2017,,Knox College,L,3-12,9.0,21,12,11,4,5,3,0,3,1,1,1,1,14,10,0,11.0
4/15/2017,,Knox College,W,8-6,9.0,8,6,2,1,6,1,0,2,1,0,0,0,15,10,1,2.0
4/21/2017,at,Beloit College,W,4-1,9.0,5,1,1,2,7,1,0,0,0,0,0,0,16,10,0,1.0
4/22/2017,vs,Ripon College,L,1-6,9.0,13,6,6,4,5,1,1,1,2,0,1,0,16,11,0,6.0
4/23/2017,vs,St. Norbert College,L,6-9,8.0,12,9,9,3,7,1,2,0,2,0,2,0,16,12,0,10.13
4/23/2017,vs,Lawrence University,W,22-8,10.0,10,8,7,3,5,2,1,0,1,0,2,0,17,12,0,6.3
4/29/2017,at,Univ. of Chicago,W,4-2,7.0,11,2,2,1,2,1,0,0,0,0,0,0,18,12,1,2.57
5/6/2017,at,Cornell College,W,11-3,9.0,6,3,3,2,4,2,0,0,1,0,1,1,19,12,0,3.0
5/6/2017,at,Cornell College,W,10-6,9.0,12,6,5,2,4,3,0,0,1,1,3,0,20,12,0,5.0
5/7/2017,,Cornell College,L,5-18,8.0,14,18,14,8,5,3,0,2,2,1,2,0,20,13,0,15.75
5/7/2017,,Cornell College,L,3-7,9.0,14,7,7,5,7,2,0,2,1,0,0,0,20,14,0,7.0
5/12/2017,,Beloit College,L,2-14,9.0,15,14,7,5,8,2,1,1,2,0,1,0,20,15,0,7.0
5/12/2017,at,Cornell College,L,7-15,8.0,15,15,12,3,3,1,0,3,2,0,2,1,20,16,0,13.5
Total,,,,252-254,314.0,416,254,207,119,165,70,9,26,31,10,46,7,20,16,4,
