#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
29.0,"LaMotte, Sam 29 LaMotte, Sam",1.38,0.95,3-0,5-5,1,1-0,0,39.0,27,7,6,10,18,4,0,1,137,0.197,1,2,0,0,2,View Bio
18.0,"Galanek, Sam 18Galanek, Sam",3.38,1.75,0-0,4-1,0,0-0,0,8.0,9,3,3,5,7,1,0,0,32,0.281,0,0,0,0,0,View Bio
13.0,"Mack, Andrew 13Mack, Andrew",4.0,1.56,0-1,2-2,0,0-0,0,9.0,9,4,4,5,7,0,0,0,35,0.257,2,0,0,1,0,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",4.26,1.39,4-0,13-0,0,0-0,3,25.1,30,12,12,5,23,6,1,0,102,0.294,3,3,1,3,1,View Bio
32.0,"Shubert, Gabriel 32 Shubert, Gabriel",4.5,2.5,2-1,8-0,0,0-0,0,10.0,20,7,5,5,7,1,0,3,51,0.392,1,0,1,0,0,View Bio
24.0,"Comiskey, Shane 24Comiskey, Shane",4.62,1.2,2-2,6-3,0,0-0,0,25.1,26,14,13,4,11,4,1,3,98,0.265,0,4,2,1,0,View Bio
11.0,"Lopez, Sam 11Lopez, Sam",5.97,1.63,0-0,6-6,0,0-0,0,28.2,36,24,19,10,12,6,0,1,117,0.308,1,3,5,4,1,View Bio
41.0,"Goldsher, Jay 41Goldsher, Jay",6.75,4.55,0-0,2-0,0,0-0,0,1.1,3,3,1,2,0,1,0,0,6,0.5,0,0,0,1,0,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",7.43,2.6,1-2,5-4,0,0-0,0,13.1,23,18,11,11,4,4,0,2,59,0.39,3,1,0,1,1,View Bio
10.0,"Slattery, Michael 10Slattery, Michael",8.31,1.62,0-1,6-0,0,0-0,0,13.0,15,13,12,6,9,3,1,1,52,0.288,3,3,0,0,1,View Bio
44.0,"Morsch, Jacob 44 Morsch, Jacob",10.03,2.32,2-0,6-0,0,0-0,0,11.2,18,16,13,8,8,3,1,1,51,0.353,2,1,0,1,2,View Bio
22.0,"Takabuki, Cody 22 Takabuki, Cody",18.9,3.55,0-0,3-0,0,0-0,0,3.1,8,7,7,3,1,3,0,0,18,0.444,1,1,0,0,0,View Bio
,Totals,5.07,1.59,14-7,66-21,1,1,3,188.0,224,128,106,74,107,36,4,12,758,0.296,17,18,9,12,8,
,Opponents,5.8,1.69,7-14,74-21,0,0,2,186.1,227,154,120,87,105,39,9,10,731,0.311,13,33,5,19,34,
