#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
26.0,"Shults, Andrew 26 Shults, Andrew",91,89,2,0,1.0,2,0,0,0,0,View Bio
24.0,"Comiskey, Shane 24 Comiskey, Shane",23,20,3,0,1.0,1,2,1,0,0,View Bio
25.0,"Spencer, Ben 25 Spencer, Ben",19,16,3,0,1.0,0,0,0,0,0,View Bio
29.0,"LaMotte, Sam 29 LaMotte, Sam",17,4,13,0,1.0,3,1,2,0,0,View Bio
23.0,"Koehler, Chad 23 Koehler, Chad",10,9,1,0,1.0,0,0,1,1,0,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",8,4,4,0,1.0,2,6,4,0,0,View Bio
11.0,"Lopez, Sam 11 Lopez, Sam",7,0,7,0,1.0,0,1,2,0,0,View Bio
44.0,"Morsch, Jacob 44 Morsch, Jacob",4,1,3,0,1.0,0,0,1,0,0,View Bio
13.0,"Mack, Andrew 13 Mack, Andrew",3,1,2,0,1.0,0,3,2,0,0,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",3,0,3,0,1.0,0,4,1,0,0,View Bio
41.0,"Goldsher, Jay 41 Goldsher, Jay",1,0,1,0,1.0,0,0,0,0,0,View Bio
45.0,"Carr, Charles 45 Carr, Charles",1,1,0,0,1.0,0,1,0,0,0,View Bio
9.0,"Daniel, Noah 9 Daniel, Noah",1,1,0,0,1.0,0,0,0,0,0,View Bio
4.0,"Gampell, Carson 4 Gampell, Carson",246,237,8,1,0.996,22,0,0,0,0,View Bio
18.0,"Galanek, Sam 18 Galanek, Sam",104,93,10,1,0.99,14,1,3,0,0,View Bio
36.0,"Hammond, Matt 36 Hammond, Matt",159,132,23,4,0.975,0,18,12,4,0,View Bio
16.0,"Wong, Benjamin 16 Wong, Benjamin",140,62,74,4,0.971,18,0,0,0,0,View Bio
12.0,"Zaroban, Nathan 12 Zaroban, Nathan",75,69,3,3,0.96,0,0,0,0,0,View Bio
33.0,"Cabrera, Julian 33 Cabrera, Julian",38,32,4,2,0.947,0,4,2,2,0,View Bio
17.0,"Weaver, Brad 17 Weaver, Brad",56,47,5,4,0.929,0,0,0,0,0,View Bio
3.0,"Czajkowski, Kory 3 Czajkowski, Kory",28,14,12,2,0.929,4,0,0,0,0,View Bio
5.0,"Takayesu, Niko 5 Takayesu, Niko",208,64,129,15,0.928,25,0,0,0,0,View Bio
7.0,"Levens, Ravi 7 Levens, Ravi",102,23,69,10,0.902,7,0,0,0,0,View Bio
8.0,"Towner, Teague 8 Towner, Teague",39,15,18,6,0.846,1,0,0,0,0,View Bio
10.0,"Slattery, Michael 10 Slattery, Michael",27,7,14,6,0.778,2,2,0,0,0,View Bio
32.0,"Shubert, Gabriel 32 Shubert, Gabriel",4,0,3,1,0.75,0,0,1,0,0,View Bio
20.0,"LeSher, Brady 20 LeSher, Brady",6,1,3,2,0.667,0,0,0,0,0,View Bio
22.0,"Takabuki, Cody 22 Takabuki, Cody",2,0,1,1,0.5,0,0,0,0,0,View Bio
15.0,"Monigal, Conor 15 Monigal, Conor",0,0,0,0,0.0,0,0,0,0,0,View Bio
21.0,"Asawa, Alex 21 Asawa, Alex",0,0,0,0,0.0,0,1,0,0,0,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",0,0,0,0,0.0,0,0,0,0,0,View Bio
30.0,"Reilly, Vince 30 Reilly, Vince",0,0,0,0,0.0,0,0,0,0,0,View Bio
31.0,"Hager, Jack 31 Hager, Jack",0,0,0,0,0.0,0,0,0,0,0,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,1422,942,418,62,0.956,40,44,32,7,0,
,Opponents,1428,943,410,75,0.947,28,110,37,13,0,
