Statistic,High,Opponent
AT BATS,45,Ill. Wesleyan (3/4/2017); Hendrix (3/20/2017); Lawrence University (4/23/2017)
RUNS SCORED,22,Lawrence University (4/23/2017)
HITS,21,Hendrix (3/20/2017)
RBIS,19,Lawrence University (4/23/2017)
DOUBLES,5,Monmouth College (4/9/2017)
TRIPLES,2,Monmouth College (4/9/2017); Lawrence University (4/23/2017)
HOME RUNS,4,Loras College (3/5/2017)
WALKS,9,UW-Superior (3/23/2017); Middlebury College (3/26/2017); Illinois College (4/2/2017)
STRIKEOUTS,10,Ill. Wesleyan (3/4/2017); Knox College (4/13/2017)
SAC HITS,4,Loras College (3/5/2017); Ozarks (Ark.) (3/19/2017); Beloit College (4/21/2017); Lawrence University (4/23/2017)
SAC FLIES,2,Knox College (4/15/2017); Cornell College (5/7/2017); Ozarks (Ark.) (3/19/2017); Illinois College (4/2/2017); Monmouth College (4/9/2017)
STOLEN BASES,7,Elmhurst College (3/4/2017)
HIT BY PITCH,5,Lawrence University (4/23/2017)
CAUGHT STEALING,2,Illinois College (4/2/2017)
HIT INTO DP,3,Illinois College (4/2/2017)
