Player,Longest,Current
"Shults, Andrew",22,1
"Takayesu, Niko",20,20
"Galanek, Sam",14,2
"Gampell, Carson",12,3
"Zaroban, Nathan",12,8
"Hammond, Matt",12,2
"Weaver, Brad",9,9
"Wong, Benjamin",8,3
"Spencer, Ben",7,3
"Levens, Ravi",5,5
"Cabrera, Julian",5,-
"Slattery, Michael",4,3
"Towner, Teague",2,2
"Koehler, Chad",2,2
"Czajkowski, Kory",1,-
"Comiskey, Shane",1,1
"Reilly, Vince",1,1
"Binversie, Ben",1,1
