Statistic,High,Player,Opponent
AT BATS,6,Andrew Shults; M. Hammond; Matt Hammond; Brad Weaver,Ill. Wesleyan (3/4/2017); Ozarks (Ark.) (3/18/2017); Hendrix (3/20/2017); Knox College (4/13/2017); Lawrence University (4/23/2017)
RUNS SCORED,5,Matt Hammond; Niko Takayesu,Hendrix (3/20/2017); Lawrence University (4/23/2017)
HITS,5,Matt Hammond,Hendrix (3/20/2017)
RBIS,8,Matt Hammond,Loras College (3/5/2017)
DOUBLES,2,Sam Galanek; Brad Weaver; Niko Takayesu,Hendrix (3/20/2017); Monmouth College (4/9/2017); Lawrence University (4/23/2017)
TRIPLES,1,Niko Takayesu; N. Takayesu; Andrew Shults,Cornell College (5/7/2017); Cornell College (5/7/2017); Ozarks (Ark.) (3/18/2017); Ozarks (Ark.) (3/19/2017); Hendrix (3/20/2017)
HOME RUNS,2,Matt Hammond,Loras College (3/5/2017); Illinois College (4/1/2017)
WALKS,4,Niko Takayesu,UW-Superior (3/23/2017)
STRIKEOUTS,3,Sam Galanek,Elmhurst College (3/4/2017)
SAC HITS,2,Andrew Shults,UW-Superior (3/23/2017); Ozarks (Ark.) (3/19/2017); Lawrence University (4/23/2017)
SAC FLIES,2,Benjamin Wong; Sam Galanek,Cornell College (5/7/2017); Illinois College (4/2/2017)
STOLEN BASES,2,Andrew Shults; Matt Hammond,Elmhurst College (3/4/2017); Ozarks (Ark.) (3/19/2017); Hendrix (3/20/2017); Illinois College (4/2/2017); Monmouth College (4/9/2017)
HIT BY PITCH,2,Matt Hammond; Andrew Shults; Nathan Zaroban; Niko Takayesu,Middlebury College (3/26/2017); Illinois College (4/1/2017); Knox College (4/15/2017); Lawrence University (4/23/2017); Cornell College (5/6/2017)
CAUGHT STEALING,1,Andrew Shults; Matt Hammond; Brady LeSher; Carson Gampell,Ill. Wesleyan (3/4/2017); Loras College (3/5/2017); Lawrence University (3/5/2017); Middlebury College (3/26/2017); Illinois College (4/1/2017)
HIT INTO DP,2,Sam Galanek,Elmhurst College (3/4/2017)
