Player,2,3,4,5+,Total
"Shults, Andrew",12,6,1,-,19
"Hammond, Matt",8,4,1,1,14
"Takayesu, Niko",9,4,-,-,13
"Weaver, Brad",12,1,-,-,13
"Galanek, Sam",7,3,-,1,11
"Zaroban, Nathan",7,3,-,-,10
"Gampell, Carson",8,1,-,-,9
"Wong, Benjamin",6,1,-,-,7
"Levens, Ravi",4,1,-,-,5
"Slattery, Michael",2,-,-,-,2
"Spencer, Ben",2,-,-,-,2
"Cabrera, Julian",2,-,-,-,2
"Czajkowski, Kory",1,-,-,-,1
"Towner, Teague",1,-,-,-,1
TEAM,81,24,2,2,109
