Statistic,High,Opponent
INNINGS PITCHED,12.0,Ill. Wesleyan (3/4/2017)
RUNS ALLOWED,18.0,Cornell College (5/7/2017)
EARNED RUNS,15.0,Ozarks (Ark.) (3/18/2017)
WALKS ALLOWED,8.0,Cornell College (5/7/2017)
STRIKEOUTS,8.0,Carthage College (3/24/2017); Beloit College (5/12/2017); Monmouth College (4/9/2017)
HITS ALLOWED,21.0,Knox College (4/15/2017)
DOUBLES ALLOWED,5.0,Allegheny Coll. (3/24/2017)
TRIPLES ALLOWED,2.0,St. Norbert College (4/23/2017)
HOME RUNS ALLOWED,3.0,Knox College (4/15/2017); Ozarks (Ark.) (3/18/2017); Cornell College (5/12/2017)
WILD PITCHES,2.0,Loras College (3/5/2017); Ripon College (4/22/2017); Cornell College (5/7/2017); Beloit College (5/12/2017); Allegheny Coll. (3/24/2017)
HIT BATTERS,4.0,Ill. Wesleyan (3/4/2017); Middlebury College (3/26/2017); Hendrix (3/20/2017)
