Statistic,High,Player,Opponent
INNINGS PITCHED,9.0,Sam LaMotte,Illinois College (4/1/2017)
RUNS ALLOWED,8.0,N. Mathews,Ozarks (Ark.) (3/18/2017)
EARNED RUNS,8.0,N. Mathews,Ozarks (Ark.) (3/18/2017)
WALKS ALLOWED,5.0,N. Mathews,Ozarks (Ark.) (3/18/2017)
STRIKEOUTS,7.0,Sam LaMotte,Carthage College (3/24/2017); Beloit College (4/21/2017)
HITS ALLOWED,13.0,Sam Lopez,Loras College (3/5/2017)
DOUBLES ALLOWED,4.0,Sam Lopez,Loras College (3/5/2017)
TRIPLES ALLOWED,1.0,Sam Lopez; Ben Binversie; Sam LaMotte; Shane Comiskey,Loras College (3/5/2017); Lawrence University (3/5/2017); Carthage College (3/24/2017); Ripon College (4/22/2017); Beloit College (5/12/2017)
HOME RUNS ALLOWED,2.0,Shane Comiskey; Gabriel Shubert; N. Mathews; Sam LaMotte; Ben Binversie,Cornell College (5/7/2017); Cornell College (5/7/2017); Ozarks (Ark.) (3/18/2017); Ozarks (Ark.) (3/19/2017); Cornell College (5/12/2017)
WILD PITCHES,1.0,Cody Takabuki; Sam Lopez; Noah Mathews; Michael Slattery,Ill. Wesleyan (3/4/2017); Loras College (3/5/2017); UW-Superior (3/23/2017); Middlebury College (3/26/2017); Monmouth College (4/8/2017)
HIT BATTERS,3.0,Jacob Morsch,Middlebury College (3/26/2017)
