#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
30.0,"Reilly, Vince 30 Reilly, Vince",1.0,2.0,1-0,1,0,1,0,0,0,0,1,1.0,0,0,0,0,1.0,0,0,0-0,View Bio
24.0,"Comiskey, Shane 24Comiskey, Shane",0.5,1.35,16-3,4,2,2,1,0,0,4,3,0.75,1,0,0,0,0.6,0,0,0-0,View Bio
26.0,"Shults, Andrew 26 Shults, Andrew",0.402,0.902,21-21,82,21,33,0,1,0,11,35,0.427,10,4,15,0,0.475,3,8,13-15,View Bio
5.0,"Takayesu, Niko 5 Takayesu, Niko",0.369,1.052,21-21,84,28,31,6,4,1,19,48,0.571,14,5,6,1,0.481,1,5,4-4,View Bio
25.0,"Spencer, Ben 25 Spencer, Ben",0.333,0.953,12-5,24,4,8,1,1,1,5,14,0.583,2,0,4,0,0.37,1,1,0-0,View Bio
16.0,"Wong, Benjamin 16Wong, Benjamin",0.328,0.762,20-18,64,15,21,2,0,0,9,23,0.359,5,5,3,0,0.403,3,4,2-3,View Bio
18.0,"Galanek, Sam 18Galanek, Sam",0.308,0.85,20-20,78,14,24,5,1,3,23,40,0.513,4,1,14,3,0.337,3,0,2-2,View Bio
10.0,"Slattery, Michael 10Slattery, Michael",0.308,0.797,11-3,13,2,4,1,0,0,3,5,0.385,3,0,0,0,0.412,1,1,1-2,View Bio
12.0,"Zaroban, Nathan 12Zaroban, Nathan",0.3,0.836,18-17,60,9,18,2,1,1,5,25,0.417,8,5,4,2,0.419,1,4,0-2,View Bio
17.0,"Weaver, Brad 17Weaver, Brad",0.293,0.826,20-20,82,13,24,9,1,1,16,38,0.463,6,3,17,0,0.363,0,4,1-2,View Bio
4.0,"Gampell, Carson 4 Gampell, Carson",0.292,0.732,18-17,65,9,19,4,0,0,3,23,0.354,8,1,8,0,0.378,0,0,2-4,View Bio
33.0,"Cabrera, Julian 33 Cabrera, Julian",0.286,0.788,12-5,21,2,6,2,0,0,5,8,0.381,5,0,5,0,0.407,1,2,0-0,View Bio
36.0,"Hammond, Matt 36 Hammond, Matt",0.272,0.829,21-21,81,19,22,5,0,3,27,36,0.444,12,6,10,2,0.385,5,1,3-3,View Bio
7.0,"Levens, Ravi 7 Levens, Ravi",0.25,0.615,16-15,44,6,11,0,0,0,2,11,0.25,7,1,13,2,0.365,0,2,2-4,View Bio
8.0,"Towner, Teague 8 Towner, Teague",0.214,0.553,10-5,14,4,3,1,0,0,2,4,0.286,1,0,0,0,0.267,0,2,1-1,View Bio
3.0,"Czajkowski, Kory 3 Czajkowski, Kory",0.0,0.0,2-1,4,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
15.0,"Monigal, Conor 15 Monigal, Conor",0.0,0.0,3-0,3,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
23.0,"Koehler, Chad 23 Koehler, Chad",0.0,0.4,3-1,3,0,0,0,0,0,0,0,0.0,0,2,1,0,0.4,0,0,0-0,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
31.0,"Hager, Jack 31 Hager, Jack",0.0,0.0,5-0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",0.0,0.5,13-0,1,2,0,0,0,0,0,0,0.0,1,0,0,0,0.5,0,0,0-0,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",0.0,0.0,8-0,1,3,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
,Totals,0.311,0.829,21-21,731,154,227,39,9,10,134,314,0.43,87,33,105,10,0.399,19,34,31-42,
,Opponents,0.296,0.768,21-21,758,128,224,36,4,12,112,304,0.401,74,18,107,10,0.367,12,8,11-18,
