#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
29.0,"LaMotte, Sam 29 LaMotte, Sam",2.93,1.17,4-3,10-10,1,1-0,0,67.2,64,26,22,15,33,10,2,4,258,0.248,2,6,0,0,3,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",5.53,1.57,6-0,21-0,0,0-0,4,40.2,52,31,25,12,28,10,2,3,166,0.313,3,5,1,6,1,View Bio
11.0,"Lopez, Sam 11Lopez, Sam",7.55,1.91,1-2,9-9,0,0-0,0,39.1,61,39,33,14,16,12,1,3,172,0.355,4,3,6,4,1,View Bio
45.0,"Carr, Charles 45 Carr, Charles",0.0,0.67,0-0,1-1,0,0-0,0,6.0,3,0,0,1,4,0,0,0,20,0.15,0,0,0,0,0,View Bio
21.0,"Asawa, Alex 21 Asawa, Alex",0.0,0.0,0-0,1-0,0,0-0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,View Bio
13.0,"Mack, Andrew 13Mack, Andrew",3.21,1.43,0-1,5-4,0,0-0,0,14.0,14,6,5,6,11,1,0,0,55,0.255,2,1,0,1,0,View Bio
41.0,"Goldsher, Jay 41Goldsher, Jay",3.86,3.86,0-0,5-0,0,0-0,0,2.1,7,3,1,2,0,1,0,0,12,0.583,0,0,0,1,0,View Bio
24.0,"Comiskey, Shane 24Comiskey, Shane",5.85,1.36,2-3,11-3,0,0-0,0,32.1,40,24,21,4,17,9,1,4,132,0.303,2,7,2,1,2,View Bio
18.0,"Galanek, Sam 18Galanek, Sam",5.89,2.02,1-0,8-2,0,0-0,0,18.1,29,14,12,8,9,4,0,1,76,0.382,0,4,0,4,0,View Bio
32.0,"Shubert, Gabriel 32 Shubert, Gabriel",7.2,2.4,2-1,16-0,0,0-0,0,20.0,38,21,16,10,11,3,1,4,96,0.396,1,3,1,1,0,View Bio
10.0,"Slattery, Michael 10Slattery, Michael",7.56,1.76,0-3,13-0,0,0-0,0,25.0,30,27,21,14,15,7,1,1,100,0.3,8,6,0,0,5,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",8.28,2.32,2-3,8-7,0,0-0,0,29.1,48,35,27,20,10,7,0,5,120,0.4,4,4,0,3,2,View Bio
44.0,"Morsch, Jacob 44 Morsch, Jacob",9.88,1.98,2-0,7-0,0,0-0,0,13.2,18,18,15,9,10,3,1,1,56,0.321,2,4,0,2,2,View Bio
22.0,"Takabuki, Cody 22 Takabuki, Cody",15.19,2.81,0-0,5-0,0,0-0,0,5.1,12,10,9,3,1,3,0,0,29,0.414,3,3,0,0,0,View Bio
,Totals,5.93,1.7,20-16,120-36,1,1,4,314.0,416,254,207,119,165,70,9,26,1292,0.322,31,46,10,23,16,
,Opponents,5.7,1.72,16-20,117-36,0,1,4,314.1,383,252,199,156,185,60,11,19,1248,0.307,38,46,6,22,49,
