Player,Longest,Current
"Shults, Andrew",20,1
"Takayesu, Niko",11,4
"Galanek, Sam",9,1
"Zaroban, Nathan",8,8
"Wong, Benjamin",8,3
"Weaver, Brad",7,2
"Spencer, Ben",6,3
"Hammond, Matt",6,2
"Gampell, Carson",5,2
"Cabrera, Julian",5,-
"Levens, Ravi",4,4
"Towner, Teague",2,2
"Slattery, Michael",2,1
"Czajkowski, Kory",1,-
"Comiskey, Shane",1,1
"Reilly, Vince",1,1
