0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2022-23,12,999,-,242,159,-,78,-,7,-,-,1,192-147,.566,83.3
2023-24,11,924,-,256,157,-,76,-,5,-,-,1,157-235,.401,84.0
2024-25,3,251,-,251,-,-,82,-,1,-,-,-,31-19,.620,83.7
Totals,26,2174,-,242,157,-,76,-,13,-,-,2,380-401,.487,83.6
