0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2023-24,14,1047,-,212,148,-,66,3,6,1,1,5,409-34,.923,74.8
2024-25,9,652,-,213,144,-,66,3,4,2,3,4,261-7,.974,72.4
Totals,23,1699,-,212,144,-,66,6,10,3,4,9,670-41,.942,73.9
