0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2023-24,13,1050,-,239,155,83,77,-,6,-,-,1,259-193,.573,80.8
2024-25,5,389,-,234,155,-,77,-,2,-,-,2,43-7,.860,77.8
Totals,18,1439,-,234,155,83,77,-,8,-,-,3,302-200,.602,79.9
