0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2022-23,13,1030,-,226,154,-,72,1,7,-,1,2,331-133,.713,79.2
2023-24,18,1403,310,229,150,-,73,-,7,-,1,2,468-140,.770,77.9
2024-25,9,662,-,216,146,-,70,3,4,1,2,4,251-17,.937,73.6
Totals,40,3095,310,216,146,-,70,4,18,1,4,8,1050-290,.784,77.4
