0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2023-24,13,1021,323,220,155,-,71,1,5,-,1,1,284-94,.751,78.5
2024-25,9,702,-,235,152,-,75,-,4,-,1,2,208-60,.776,78.0
Totals,22,1723,323,220,152,-,71,1,9,-,2,3,492-154,.762,78.3
