0,1,2,3,4,5,6
Grinnell,384,354,355,1093,217,1st
Stephanie Spahr,92,91,86,269,50,t-4th
Alex Plemmons,98,87,86,271,52,6th
Kayleigh Kresse,96,88,89,273,54,8th
Hailey Speck,98,88,94,280,61,11th
Emily Adam,138,143,138,419,200,32nd
