0,1,2,3
Grinnell College,364,76,5th
Kayleigh Kresse,88,16,t-13th
Alex Plemmons,92,20,t-21st
Stephanie Spahr,92,20,t-21st
Hailey Speck,92,20,t-21st
Emily Adam,115,43,34th
