Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2017,Simpson College,2-0,90:00,0,0.0,3,1.0,1,0,0,1,5
9/2/2017,Coe College,0-2,90:00,2,1.0,2,0.5,0,1,0,0,14
9/6/2017,Central College,0-4,90:00,4,2.0,10,0.714,0,1,0,0,21
9/9/2017,Crown,6-0,90:00,0,1.5,2,1.0,1,0,0,1,3
9/10/2017,Wisconsin-Oshkosh,0-1,90:00,1,1.4,6,0.857,0,1,0,0,8
9/17/2017,Edgewood College,0-1,90:00,1,1.33,1,0.5,0,1,0,0,4
9/23/2017,Beloit,5-3,90:00,3,1.57,4,0.571,1,0,0,0,6
9/24/2017,Lake Forest,2-1,90:00,1,1.5,8,0.889,1,0,0,0,15
9/27/2017,Buena Vista,3-1,90:00,1,1.44,7,0.875,1,0,0,0,9
9/30/2017,Illinois College,7-3,90:00,3,1.6,3,0.5,1,0,0,0,6
10/7/2017,Knox,1-2,108:33,2,1.61,6,0.75,0,1,0,0,17
10/14/2017,St. Norbert College,1-4,90:00,4,1.8,3,0.429,0,1,0,0,7
10/15/2017,Lawrence University,4-0,90:00,0,1.67,3,1.0,1,0,0,1,4
10/19/2017,Nebraska Wesleyan,2-1,90:00,1,1.62,3,0.75,1,0,0,0,7
10/21/2017,Ripon,1-0,90:00,0,1.51,6,1.0,1,0,0,1,9
10/25/2017,Cornell College,2-3,90:00,3,1.6,1,0.25,0,1,0,0,5
10/28/2017,Monmouth (IL),1-0,89:32,0,1.51,4,1.0,1,0,0,1,10
11/3/2017,Knox,0-1,90:00,1,1.48,10,0.909,0,1,0,0,11
Totals,,-,1637,27,1.48,82,0.752,10,8,0,5,161
Opponent,,-,1638:05,37,2.03,147,0.799,8,10,0,5,332
