Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2017,Simpson College,0-2,90:00,2,2.0,6,0.75,0,1,0,0,19
9/2/2017,Coe College,2-0,90:00,0,1.0,0,0.0,1,0,0,1,3
9/6/2017,Central College,4-0,90:00,0,0.67,5,1.0,1,0,0,1,9
9/9/2017,Crown,0-6,90:00,6,2.0,21,0.778,0,1,0,0,45
9/10/2017,Wisconsin-Oshkosh,1-0,90:00,0,1.6,3,1.0,1,0,0,1,9
9/17/2017,Edgewood College,1-0,90:00,0,1.33,8,1.0,1,0,0,1,16
9/23/2017,Beloit,3-5,90:00,5,1.86,13,0.722,0,1,0,0,29
9/24/2017,Lake Forest,1-2,90:00,2,1.88,2,0.5,0,1,0,0,10
9/27/2017,Buena Vista,1-3,90:00,3,2.0,16,0.842,0,1,0,0,43
9/30/2017,Illinois College,3-7,90:00,7,2.5,13,0.65,0,1,0,0,31
10/7/2017,Knox,2-1,108:33,1,2.32,1,0.5,1,0,0,0,7
10/14/2017,St. Norbert College,4-1,90:00,1,2.21,10,0.909,1,0,0,0,11
10/15/2017,Lawrence University,0-4,90:00,4,2.35,17,0.81,0,1,0,0,38
10/19/2017,Nebraska Wesleyan,1-2,90:00,2,2.32,2,0.5,0,1,0,0,8
10/21/2017,Ripon,0-1,90:00,1,2.24,9,0.9,0,1,0,0,16
10/25/2017,Cornell College,3-2,90:00,2,2.22,16,0.889,1,0,0,0,27
10/28/2017,Monmouth (IL),0-1,89:32,1,2.15,4,0.8,0,1,0,0,10
11/3/2017,Knox,1-0,90:00,0,2.03,1,1.0,1,0,0,1,1
Totals,,-,1637,37,2.03,147,0.799,8,10,0,5,332
Grinnell College,,-,1638:05,27,1.48,82,0.752,10,8,0,5,161
