#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
0.0,"Hunt, Elizabeth 0Hunt, Elizabeth",8,3,432:29,9,1.87,24,0.727,3.0,1.0,0.0,0,47,View Bio
1.0,"Kasprak, Regan 1Kasprak, Regan",15,15,1205:36,18,1.34,58,0.763,7.0,7.0,0.0,5,114,View Bio
,Total,18,-,1638:05,27,1.48,82,0.752,10.0,8.0,0.0,5,161,
,Opponents,18,-,1638:05,37,2.03,146,0.798,,,,5,332,
