#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
0.0,"Hunt, Elizabeth 0Hunt, Elizabeth",5,2,252:35,7,2.49,11,0.611,2.0,1.0,0.0,0,24,View Bio
1.0,"Kasprak, Regan 1Kasprak, Regan",7,7,575:30,9,1.41,27,0.75,4.0,2.0,0.0,3,55,View Bio
,Total,9,-,828:05,16,1.74,38,0.704,6.0,3.0,0.0,3,79,
,Opponents,9,-,828:05,24,2.61,84,0.778,,,,0,179,
