0,1,2
POINTS,2,Wisconsin-Oshkosh (9/10/2017)
GOALS,1,Wisconsin-Oshkosh (9/10/2017) Edgewood College (9/17/2017) Lake Forest (9/24/2017) Buena Vista (9/27/2017) Nebraska Wesleyan (10/19/2017) Knox (11/3/2017)
ASSISTS,1,Central College (9/6/2017) Edgewood College (9/17/2017) Lake Forest (9/24/2017) Buena Vista (9/27/2017) Knox (11/3/2017)
SHOTS,3,Crown (9/9/2017) Edgewood College (9/17/2017) Lawrence University (10/15/2017)
SHOTS ON GOAL,2,Crown (9/9/2017) Edgewood College (9/17/2017)
SAVES,1,Knox (10/7/2017) Knox (11/3/2017)
FOULS,2,Buena Vista (9/27/2017)
CORNER KICKS,1,Simpson College (9/1/2017) Beloit (9/23/2017) Buena Vista (9/27/2017) Illinois College (9/30/2017)
