Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2017,vs Simpson College,W,2-0,(1-0),,171,Valencia Alvarez (0) Francesca Varias (0)
9/2/2017,at Coe College,L,0-2,(1-1),,201,
9/6/2017,vs Central College,L,0-4,(1-2),,64,
9/9/2017,at Crown,W,6-0,(2-2),,125,Francesca Varias (0) (Cally Carr)  Valencia Alvarez (0) (Lilyrose Weiss)  Francesca Varias (0) Jordan Maddaus (0) Gwen Holtzman (0) (Valencia Alvarez)  Quinn Berleman-Paul (0) (Elyse Salpekar)
9/10/2017,vs Wisconsin-Oshkosh,L,0-1,(2-3),,117,
9/17/2017,at Edgewood College,L,0-1,(2-4),,140,
9/23/2017,vs Beloit,W,5-3,"(3-4-0, 1-0 MWC)",1-0 MWC,123,"Simona Bambi (0) (Jordan Maddaus , Francesca Varias)  Valencia Alvarez (0) Simona Bambi (0) (Francesca Varias)  Kitt Richards (0) Jordan Maddaus (0) (Issy Schwiebert)"
9/24/2017,vs Lake Forest,W,2-1,"(4-4, 2-0 MWC)",2-0 MWC,127,Alyssa Radakovich (1) (Kitt Richards)  Gwen Holtzman (2) (Lilyrose Weiss)
9/27/2017,vs Buena Vista,W,3-1,(5-4),,78,Celeste Kaspar (0) (Jordan Maddaus)  Simona Bambi (0) (Francesca Varias)  Jordan Maddaus (0) (Valencia Alvarez)
9/30/2017,at Illinois College,W,7-3,"(6-4-0, 3-0-0 MWC)",3-0-0 MWC,95,"Valencia Alvarez (4) (Jordan Maddaus , Francesca Varias)  Simona Bambi (4) (Jordan Maddaus)  Jordan Maddaus (4) (Valencia Alvarez)  Gwen Holtzman (3) (Simona Bambi)  Team (0) Francesca Varias (4) (Valencia Alvarez)  Simona Bambi (5)"
10/7/2017,at Knox,L,1-2,"(6-5, 3-1 MWC)",3-1 MWC,120,Francesca Varias (5) (Shaina Zarkin-Scott)
10/14/2017,at St. Norbert College,L,1-4,"(6-6, 3-2 MWC)",3-2 MWC,100,Lauren Edwards (2)
10/15/2017,at Lawrence University,W,4-0,"(7-6-0, 4-2-0 MWC)",4-2-0 MWC,112,"Shaina Zarkin-Scott (0) (Kitt Richards , Celeste Kaspar)  Shaina Zarkin-Scott (0) Lilyrose Weiss (0) (Lauren Edwards)  Kitt Richards (0) (Simona Bambi , Michellie Thurman)"
10/19/2017,at Nebraska Wesleyan,W,2-1,(8-6-0),,65,Valencia Alvarez (5) Francesca Varias (6)
10/21/2017,vs Ripon,W,1-0,"(9-6, 5-2 MWC)",5-2 MWC,132,"Bambi, Simona (6) (Edwards, Lauren)"
10/25/2017,vs Cornell College,L,2-3,"(9-7, 5-3 MWC)",5-3 MWC,126,Valencia Alvarez (6) (Esme Kayim-Yanko)  Esme Kayim-Yanko (1) (Valencia Alvarez)
10/28/2017,vs Monmouth (IL),W,1-0,"(10-7, 6-3 MWC)",6-3 MWC,141,"Jordan Maddaus (0) (Valencia Alvarez , Lauren Hurley)"
11/3/2017,at Knox,L,0-1,(10-8),,60,
