Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2017,Simpson College,0-2,0,0,0,5,0.0,3,0.6,0-0,0,0-0,991
9/2/2017,Coe College,2-0,2,0,4,14,0.143,4,0.286,0-0,1,0-0,986
9/6/2017,Central College,4-0,4,1,9,21,0.19,14,0.667,1-0,1,0-0,991
9/9/2017,Crown,0-6,0,0,0,3,0.0,2,0.667,0-0,0,0-0,990
9/10/2017,Wisconsin-Oshkosh,1-0,1,0,2,9,0.111,7,0.778,1-0,1,1-1,1001
9/17/2017,Edgewood College,1-0,1,1,3,4,0.25,2,0.5,0-0,1,0-0,988
9/23/2017,Beloit,3-5,3,0,6,7,0.429,7,1.0,0-0,0,1-1,959
9/24/2017,Lake Forest,1-2,1,1,3,15,0.067,9,0.6,0-0,0,0-0,990
9/27/2017,Buena Vista,1-3,1,1,3,9,0.111,8,0.889,0-0,0,0-0,989
9/30/2017,Illinois College,3-7,3,3,9,6,0.5,6,1.0,0-0,0,0-0,989
10/7/2017,Knox,2-1,2,2,6,17,0.118,8,0.471,0-0,1,0-0,0
10/14/2017,St. Norbert College,4-1,4,3,11,13,0.308,0,0.0,0-0,1,0-0,0
10/15/2017,Lawrence University,0-4,0,0,0,4,0.0,3,0.75,0-0,0,0-0,990
10/19/2017,Nebraska Wesleyan,1-2,1,2,4,7,0.143,4,0.571,0-0,0,0-0,991
10/21/2017,Ripon,0-1,0,0,0,9,0.0,6,0.667,0-0,0,0-0,990
10/25/2017,Cornell College,3-2,3,2,8,5,0.6,4,0.8,0-0,1,0-0,989
10/28/2017,Monmouth (IL),0-1,0,0,0,10,0.0,4,0.4,0-0,0,0-0,989
11/3/2017,Knox,1-0,1,1,3,17,0.059,0,0.0,2-0,1,0-0,0
Total,,27-37,27,17,71,175,0.154,91,0.52,4-0,8,2-2,14823
Grinnell College,,-,37,31,105,340,0.109,172,0.506,4-1,10,-,14921
