0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Grinnell vs. William Penn Dual,"Sep 2, 2017",1,73,+1,2nd/11
Wartburg College Fall Invite,"Sep 9-10, 2017",2,79-74=153,+9,t-10th/120
Illinois Wesleyan Fall Classic,"Sep 16-17, 2017",2,71-70=141,-3,1st/100
Aldeen Preview,"Oct 1, 2017",1,76,+3,2nd/27
Midwest Conference Championship,"Oct 6-8, 2017",3,72-78-76=226,+7,1st/31
Hope International Dual,"Mar 30, 2018",1,81,+8,3rd/0
Kathy Niepagen Spring Fling,"Apr 14-15, 2018",2,80--4=80,+8,
Wartburg College Women's Spring Invite,"Apr 21-22, 2018",2,77-76=153,+9,t-3rd/73
SEASON TOTALS,SEASON TOTALS,13,983 Avg. 75.6,+3,-
