0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Grinnell vs. William Penn Dual,"Sep 2, 2017",1,71,-1,1st/11
Wartburg College Fall Invite,"Sep 9-10, 2017",2,77-75=152,+8,t-6th/120
Illinois Wesleyan Fall Classic,"Sep 16-17, 2017",2,75-73=148,+4,t-2nd/100
Aldeen Preview,"Oct 1, 2017",1,75,+2,1st/27
Midwest Conference Championship,"Oct 6-8, 2017",3,78-80-74=232,+13,2nd/31
Hope International Dual,"Mar 30, 2018",1,77,+4,2nd/0
Kathy Niepagen Spring Fling,"Apr 14-15, 2018",2,89--4=89,+17,
Wartburg College Women's Spring Invite,"Apr 21-22, 2018",2,73-80=153,+9,t-3rd/73
SEASON TOTALS,SEASON TOTALS,13,997 Avg. 76.7,+4,-
