0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Grinnell vs. William Penn Dual,"Sep 2, 2017",1,86,+14,5th/11
Wartburg College Fall Invite,"Sep 9-10, 2017",2,86-82=168,+24,t-55th/120
Illinois Wesleyan Fall Classic,"Sep 16-17, 2017",2,91-90=181,+37,t-82nd/100
Aldeen Preview,"Oct 1, 2017",1,94,+21,t-15th/27
Midwest Conference Championship,"Oct 6-8, 2017",3,94-95-96=285,+66,t-23rd/31
Hope International Dual,"Mar 30, 2018",1,93,+20,t-8th/0
Kathy Niepagen Spring Fling,"Apr 14-15, 2018",2,89--4=89,+17,
Wartburg College Women's Spring Invite,"Apr 21-22, 2018",2,87-88=175,+31,40th/73
SEASON TOTALS,SEASON TOTALS,13,1171 Avg. 90.1,+18,-
