#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
2.0,"Adam, Amelia 2Adam, Amelia",20,10,0.0,10.5,0.53,6,0.3,4,25,0.08,1,0.05,4,0.2,6,View Bio
3.0,"Miles, Malaina 3Miles, Malaina",103,28,28.0,248.5,2.41,217,2.11,68,622,0.24,5,0.05,1,0.01,3,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",94,26,18.0,174.0,1.85,144,1.53,68,513,0.148,19,0.2,23,0.24,32,View Bio
5.0,"Vajda, Julianna 5Vajda, Julianna",77,26,0.0,55.5,0.72,29,0.38,12,128,0.133,2,0.03,25,0.32,17,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",6,5,0.0,9.0,1.5,8,1.33,4,25,0.16,1,0.17,0,0.0,0,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",105,28,7.0,15.0,0.14,1,0.01,1,16,0.0,15,0.14,14,0.13,12,View Bio
10.0,"Snell, Kylie 10Snell, Kylie",33,16,4.0,38.5,1.17,31,0.94,16,109,0.138,3,0.09,0,0.0,0,View Bio
11.0,"Taka, Hayley 11Taka, Hayley",103,28,9.0,296.0,2.87,284,2.76,134,891,0.168,2,0.02,0,0.0,0,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",58,17,13.0,182.0,3.14,165,2.84,67,447,0.219,11,0.19,10,0.17,17,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",106,28,28.0,125.0,1.18,87,0.82,26,344,0.177,920,8.68,32,0.3,46,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",105,28,20.0,37.0,0.35,1,0.01,4,27,-0.111,8,0.08,36,0.34,42,View Bio
20.0,"Lowrey, Payton 20Lowrey, Payton",105,28,0.0,51.0,0.49,4,0.04,4,47,0.0,78,0.74,47,0.45,23,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",79,26,24.0,141.5,1.79,119,1.51,50,313,0.22,3,0.04,3,0.04,4,View Bio
22.0,"Choy, Gabby 22Choy, Gabby",9,9,0.0,2.0,0.22,1,0.11,0,2,0.5,23,2.56,1,0.11,1,View Bio
33.0,"Mlynski, Nicole 33Mlynski, Nicole",85,26,17.0,157.5,1.85,144,1.69,81,511,0.123,1,0.01,0,0.0,1,View Bio
,Total,106,28,,1543.0,14.56,1241,11.71,539,4020,0.175,1092,10.3,196,1.85,204,
,Opponents,106,28,,1567.5,14.79,1226,11.57,574,4139,0.158,1088,10.26,180,1.7,208,
