Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/02/2022,at Marian (WI),L,4,37,15,112,0.196,28,9,8,17,40,1,2,0,2.0,0,48.0
9/02/2022,at Saint Mary's (MN),L,5,55,21,176,0.193,50,14,11,5,77,1,12,0,7.0,5,76.0
9/03/2022,at Concordia-M'head,L,5,58,31,194,0.139,51,6,10,5,89,0,10,0,5.0,1,69.0
9/03/2022,at Greenville,W,4,55,11,147,0.299,45,4,8,9,63,3,14,0,10.0,5,69.0
9/06/2022,Buena Vista,L,4,42,21,157,0.134,38,8,11,5,60,2,2,2,3.0,1,53.0
9/10/2022,Hamline,L,4,40,25,137,0.109,38,11,6,11,58,3,4,2,5.0,1,56.0
9/10/2022,vs Northwestern-St. Paul,W,4,58,20,147,0.259,53,4,6,5,85,2,23,0,13.5,2,75.5
9/13/2022,at Central (IA),L,3,28,17,106,0.104,26,4,12,8,50,0,6,0,3.0,3,35.0
9/16/2022,Dubuque,W,4,54,16,165,0.23,49,12,6,9,63,1,4,1,3.0,4,69.0
9/17/2022,vs Gust. Adolphus,W,3,45,14,124,0.25,45,2,8,2,68,0,10,1,5.0,0,52.0
9/17/2022,vs Saint Mary's (MN),L,5,56,23,181,0.182,50,3,9,8,87,2,2,0,3.0,0,62.0
9/23/2022,Monmouth (IL),L,3,35,16,123,0.154,32,4,4,9,64,0,10,0,5.0,2,44.0
9/24/2022,Illinois Col.,L,5,50,33,186,0.091,45,2,7,8,89,2,18,0,11.0,0,63.0
9/27/2022,Wartburg,W,3,44,16,118,0.237,40,10,7,5,59,4,4,2,6.0,0,60.0
9/30/2022,at Beloit,L,3,20,19,119,0.008,15,5,6,7,51,0,2,0,1.0,0,26.0
10/01/2022,vs Loras,L,4,45,21,169,0.142,41,5,5,6,90,1,14,0,8.0,2,58.0
10/01/2022,Augustana (IL),L,4,40,34,186,0.032,34,14,7,9,95,2,10,0,7.0,2,61.0
10/05/2022,at Simpson,W,4,51,16,137,0.255,47,10,7,7,62,0,8,0,4.0,1,65.0
10/07/2022,at Lawrence,L,3,18,18,97,0.0,16,4,5,8,36,0,2,0,1.0,1,23.0
10/08/2022,at Ripon,L,3,26,23,156,0.019,25,2,3,4,83,0,16,0,8.0,2,36.0
10/13/2022,at Knox,L,3,29,26,127,0.024,24,4,4,6,67,2,4,0,4.0,2,37.0
10/19/2022,Eureka,L,3,29,12,118,0.144,27,2,5,6,42,3,2,7,4.0,4,35.0
10/21/2022,vs Earlham,L,3,34,25,128,0.07,34,5,6,8,62,0,8,0,4.0,2,43.0
10/22/2022,vs Wis.-Platteville,W,4,47,20,145,0.186,45,12,11,4,68,3,4,0,5.0,2,64.0
10/22/2022,WashU,W,4,67,15,163,0.319,52,6,9,7,70,2,6,0,5.0,2,78.0
10/26/2022,Cornell College,W,4,55,24,182,0.17,50,3,9,8,94,6,22,4,17.0,2,75.0
10/29/2022,Lake Forest,W,4,55,17,166,0.229,46,10,10,6,73,2,4,4,4.0,5,69.0
11/04/2022,vs Lake Forest,W,4,53,25,173,0.162,42,5,8,4,67,0,16,0,8.0,6,66.0
,Opponents,,106,1226,574,4139,0.158,1088,180,208,196,1912,42,239,23,161.5,57,1567.5
,Grinnell,,106,1241,539,4020,0.175,1092,196,204,180,2000,34,144,25,106.0,47,1543.0
