Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/02/2022,Marian (WI),W,4,52,11,113,0.363,49,17,13,9,52,1,2,1,2.0,1,71.0
9/02/2022,Saint Mary's (MN),W,5,60,24,167,0.216,57,5,13,14,90,1,8,0,5.0,2,70.0
9/03/2022,Concordia-M'head,W,5,64,26,191,0.199,56,5,8,6,95,1,2,1,2.0,2,71.0
9/03/2022,Greenville,L,4,48,23,148,0.169,44,9,9,4,67,1,0,0,1.0,3,58.0
9/06/2022,at Buena Vista,W,4,53,22,159,0.195,50,5,8,8,74,2,2,3,3.0,2,61.0
9/10/2022,at Hamline,W,4,50,17,130,0.254,45,11,8,11,60,1,2,3,2.0,2,63.0
9/10/2022,vs Northwestern-St. Paul,L,4,33,27,156,0.038,28,5,5,4,64,3,2,0,4.0,1,42.0
9/13/2022,Central (IA),W,3,30,15,103,0.146,28,8,6,4,52,0,4,1,2.0,2,40.0
9/16/2022,at Dubuque,L,4,51,17,146,0.233,47,9,5,12,71,1,4,0,3.0,2,63.0
9/17/2022,vs Gust. Adolphus,L,3,24,19,119,0.042,21,2,6,2,61,0,6,0,3.0,0,29.0
9/17/2022,vs Saint Mary's (MN),W,5,58,22,184,0.196,47,8,10,3,88,1,0,0,1.0,0,67.0
9/23/2022,at Monmouth (IL),W,3,41,18,136,0.169,40,9,7,4,63,1,4,0,3.0,0,53.0
9/24/2022,at Illinois Col.,W,5,56,38,198,0.091,51,8,10,2,93,4,14,0,11.0,0,75.0
9/27/2022,at Wartburg,L,3,31,14,112,0.152,30,5,6,10,53,3,2,1,4.0,5,40.0
9/30/2022,Beloit,W,3,40,11,109,0.266,38,7,6,5,69,0,4,0,2.0,0,49.0
10/01/2022,vs Loras,W,4,57,26,182,0.17,48,6,8,5,91,2,12,0,8.0,0,71.0
10/01/2022,at Augustana (IL),W,4,43,20,168,0.137,34,9,5,14,101,0,4,0,2.0,2,54.0
10/05/2022,Simpson,L,4,44,20,135,0.178,39,7,10,10,55,1,8,1,5.0,0,56.0
10/07/2022,Lawrence,W,3,43,9,92,0.37,34,8,4,4,56,0,6,0,3.0,0,54.0
10/08/2022,Ripon,W,3,40,22,153,0.118,36,4,3,2,97,2,10,1,7.0,2,51.0
10/13/2022,Knox,W,3,36,13,125,0.184,31,6,3,4,65,0,8,0,4.0,2,46.0
10/19/2022,at Eureka,W,3,45,11,108,0.315,39,6,5,2,59,1,4,10,3.0,4,54.0
10/21/2022,vs Earlham,W,3,35,11,125,0.192,30,8,7,5,55,1,16,0,9.0,2,52.0
10/22/2022,vs Wis.-Platteville,L,4,37,21,138,0.116,26,4,8,12,67,1,4,0,3.0,2,44.0
10/22/2022,at WashU,L,4,30,15,145,0.103,24,7,5,6,45,0,4,0,2.0,2,39.0
10/26/2022,at Cornell College,L,4,44,27,175,0.097,36,8,9,3,94,3,6,0,6.0,4,58.0
10/29/2022,at Lake Forest,L,4,51,15,153,0.235,40,6,9,10,84,1,0,2,1.0,3,58.0
11/04/2022,vs Lake Forest,L,4,45,25,150,0.133,44,4,8,5,79,2,6,1,5.0,2,54.0
,Grinnell,,106,1241,539,4020,0.175,1092,196,204,180,2000,34,144,25,106.0,47,1543.0
,Opponents,,106,1226,574,4139,0.158,1088,180,208,196,1912,42,239,23,161.5,57,1567.5
