#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
2.0,"Adam, Amelia 2Adam, Amelia",20,11,0.55,1,17,0.941,0.05,0,1,1.0,0.05,0,0,View Bio
3.0,"Miles, Malaina 3Miles, Malaina",103,51,0.5,2,7,0.714,0.02,17,27,44.0,0.43,4,3,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",94,240,2.55,30,408,0.926,0.32,2,10,12.0,0.13,1,2,View Bio
5.0,"Vajda, Julianna 5Vajda, Julianna",77,34,0.44,3,27,0.889,0.04,1,1,2.0,0.03,2,0,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",6,1,0.17,0,0,0.0,0.0,0,2,2.0,0.33,1,0,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",105,191,1.82,11,251,0.956,0.1,0,0,0.0,0.0,0,0,View Bio
10.0,"Snell, Kylie 10Snell, Kylie",33,16,0.48,0,4,1.0,0.0,0,15,15.0,0.45,3,1,View Bio
11.0,"Taka, Hayley 11Taka, Hayley",103,55,0.53,6,52,0.885,0.06,4,16,20.0,0.19,3,1,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",58,133,2.29,19,261,0.927,0.33,2,10,12.0,0.21,1,1,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",106,273,2.58,1,17,0.941,0.01,0,12,12.0,0.11,3,35,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",105,251,2.39,25,414,0.94,0.24,0,0,0.0,0.0,0,0,View Bio
20.0,"Lowrey, Payton 20Lowrey, Payton",105,649,6.18,30,540,0.944,0.29,0,0,0.0,0.0,0,0,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",79,43,0.54,0,11,1.0,0.0,6,27,33.0,0.42,3,1,View Bio
22.0,"Choy, Gabby 22Choy, Gabby",9,8,0.89,0,2,1.0,0.0,0,0,0.0,0.0,0,2,View Bio
33.0,"Mlynski, Nicole 33Mlynski, Nicole",85,44,0.52,0,3,1.0,0.0,2,23,25.0,0.29,4,1,View Bio
,Total,106,2000,18.87,180,2014,0.911,1.7,34,144,106.0,1.0,25,47,
,Opponents,106,1912,18.04,196,2078,0.906,1.85,42,239,161.5,1.52,23,57,
