#,Player,SP,MP,MS,PTS,PTS/S,Attack,Attack,Attack,Attack,Attack,Set,Set,Serve,Serve,Serve,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
2.0,"Adam, Amelia 2Adam, Amelia",6,3,0.0,5.5,0.92,3,0.5,2,16,0.063,1,0.17,2,0.33,3,View Bio
3.0,"Miles, Malaina 3Miles, Malaina",26,8,8.0,67.0,2.58,58,2.23,15,171,0.251,0,0.0,0,0.0,2,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",17,6,4.0,36.5,2.15,31,1.82,13,108,0.167,2,0.12,4,0.24,1,View Bio
5.0,"Vajda, Julianna 5Vajda, Julianna",26,8,0.0,19.5,0.75,10,0.38,6,46,0.087,2,0.08,9,0.35,7,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",4,3,0.0,6.0,1.5,5,1.25,1,16,0.25,0,0.0,0,0.0,0,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",27,8,5.0,7.0,0.26,0,0.0,1,6,-0.167,7,0.26,7,0.26,1,View Bio
10.0,"Snell, Kylie 10Snell, Kylie",15,7,1.0,24.0,1.6,19,1.27,11,58,0.138,3,0.2,0,0.0,0,View Bio
11.0,"Taka, Hayley 11Taka, Hayley",27,8,6.0,95.5,3.54,90,3.33,40,265,0.189,1,0.04,0,0.0,0,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",18,5,4.0,46.0,2.56,43,2.39,23,134,0.149,2,0.11,1,0.06,6,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",28,8,8.0,38.0,1.36,24,0.86,7,89,0.191,247,8.82,13,0.46,12,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",28,8,3.0,4.0,0.14,0,0.0,0,2,0.0,1,0.04,4,0.14,10,View Bio
20.0,"Lowrey, Payton 20Lowrey, Payton",27,8,0.0,14.0,0.52,2,0.07,1,9,0.111,26,0.96,12,0.44,6,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",17,8,7.0,32.5,1.91,24,1.41,10,75,0.187,1,0.06,3,0.18,3,View Bio
22.0,"Choy, Gabby 22Choy, Gabby",3,3,0.0,1.0,0.33,0,0.0,0,0,0.0,13,4.33,1,0.33,0,View Bio
33.0,"Mlynski, Nicole 33Mlynski, Nicole",19,7,2.0,47.5,2.5,42,2.21,23,146,0.13,0,0.0,0,0.0,0,View Bio
,Total,28,8,,444.0,15.86,351,12.54,153,1141,0.174,306,10.93,56,2.0,51,
,Opponents,28,8,,373.0,13.32,288,10.29,176,1156,0.097,253,9.04,34,1.21,48,
