Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:29.64,"Warnock, Herrman, Ragan, DeLong",Dick Young Classic,"Apr 23, 2011"
,3:30.46,"Herrman, Warnock, Ragan, Krauth",Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,3:32.98,"Banks, Herrman, Ragan, DeLong",Kip Janvrin Open,"Apr 28, 2011"
,3:34.54,,Midwest Conference Championship,"May 13, 2011"
,3:35.51,,Cornell Invitational,"Apr 9, 2011"
,3:37.17,"Warnock, Herrman, Ragan, DeLong",2011 Jim Duncan Invitational,"Apr 15, 2011"
,3:39.38,"Banks, Goldstein, Garwood, Tylinski",Dick Young Classic,"Apr 23, 2011"
,3:39.47,,Monmouth Scots Invite,"May 7, 2011"
,3:40.75,"Tylinski, Banks, Garwood, Goldstein",Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,3:44.71,,Cornell Invitational,"Apr 9, 2011"
,3:46.12,"Reich, Deshpande, Smith, Salazar",Dick Young Classic,"Apr 23, 2011"
,3:47.20,,Monmouth Scots Invite,"May 7, 2011"
,3:50.17,,Cornell Invitational,"Apr 9, 2011"
