Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Phillips, Scott",,22.98,Midwest Conference Championship,"May 13, 2011",1.0
,"Phillips, Scott",,23.12,Dick Young Classic,"Apr 23, 2011",1.1
,"Herrman, Davis",SR,23.13,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.2
,"Phillips, Scott",,23.62,Monmouth Scots Invite,"May 7, 2011",-0.1
,"Phillips, Scott",,23.82,Cornell Invitational,"Apr 9, 2011",-2.4
,"Banks, Quinton",,23.9,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.2
,"Singh, Harpreet",SR,24.22,Dick Young Classic,"Apr 23, 2011",0.1
,"Singh, Harpreet",SR,24.28,Kip Janvrin Open,"Apr 28, 2011",1.1
,"Singh, Harpreet",SR,24.34,Monmouth Scots Invite,"May 7, 2011",0.1
,"Edwards, Ronald",,24.38,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",1.7
,"Banks, Quinton",,24.84,Cornell Invitational,"Apr 9, 2011",-2.9
,"Garwood, David",,24.85,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",1.7
,"Edwards, Ronald",,24.86,Dick Young Classic,"Apr 23, 2011",0.7
,"Edwards, Ronald",,24.87,Cornell Invitational,"Apr 9, 2011",-2.0
,"Garwood, David",,24.87,Cornell Invitational,"Apr 9, 2011",-1.6
,"Singh, Harpreet",SR,25.29,Cornell Invitational,"Apr 9, 2011",-2.9
,"Espinosa, Kyle",,27.85,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.0
,"Hwang, In Wook",SR-4,28.58,Cornell Invitational,"Apr 9, 2011",-1.6
,"Espinosa, Kyle",,29.04,Cornell Invitational,"Apr 9, 2011",-1.6
,"Espinosa, Kyle",,29.07,Dick Young Classic,"Apr 23, 2011",0.1
